Spanish,French
especialistas,spécialistes
generador,Générateur
albert,albert
examinar,examiner
palanqueta,Jimmy
Graham,graham
suspensión,suspension
bristol,bristol
margaret,Margaret
Compaq,compaq
triste,triste
corrección,correction
Lobo,Loup
despacio,lentement
autenticación,authentification
comunicar,communiquer
rugby,le rugby
suplemento,supplément
espectáculos,shentimes
California,cal
porciones,portions
infantil,bébé
promoviendo,promouvoir
sectores,secteurs
Samuel,samuel
líquido,fluide
jardines,terrains
encaja,conversation
patear,coup
Saludos,Cordialement
comida,repas
ejército de reserva,ta
herir,blesser
maquinaria,machinerie
banda ancha,bande passante
diferente a,contrairement à
ecuación,équation
cestas,paniers
probabilidad,probabilité
maceta,pot
dimensión,dimension
wright,hurler
img,img
barry,barry
probado,éprouvé
horarios,des horaires
admisiones,admission
en caché,mis en cache
madriguera,garenne
deslizar,glisser
estudió,étudié
crítico,critique
involucra,implique
trimestral,trimestriel
rpm,rpm
ganancias,bénéfices
demonio,diable
césped,herbe
cumplir,se conformer
marie,Marie
florista,fleuriste
ilustrado,illustré
cereza,cerise
continental,continental
alterno,alterner
Alemán,deutsch
logro,réussite
limitaciones,limites
Kenia,Kenya
cámara web,webcam
cortes,coupure
funeral,funérailles
nutten,nutten
aretes,des boucles d'oreilles
disfruté,apprécié
automatizado,automatique
capítulos,chapitres
pipí,pipi
charlie,charlie
quebec,Québec
pasajero,passager
conveniente,pratique
Dennis,dennis
Marte,Mars
Francisco,Francis
TVS,téléviseur
de tamaño,de taille
manga,manga
notado,remarqué
enchufe,prise
silencio,silencieux
literario,littéraire
huevo,Oeuf
megahercio,MHz
señales,signaux
tapas,casquettes
orientación,orientation
píldora,pilule
hurto,vol
infancia,enfance
columpio,balançoire
símbolos,symboles
latino,lat
meta,méta
humanos,humains
cosa análoga,analogique
facial,facial
elección,choix
talento,Talent
con fecha de,daté
flexibilidad,la flexibilité
buscador,chercheur
sabiduría,sagesse
disparo,tirer
Perímetro,frontière
menta,menthe
Packard,packard
compensar,décalage
día de paga,paie
philip,Philippe
élite,élite
soldado americano,gi
girar,tournoyer
titulares,titulaires
cree,croit que
sueco,suédois
poemas,poèmes
fecha límite,date limite
jurisdicción,juridiction
robot,robot
mostrando,affichage
testigo,témoin
collins,collins
equipado,équipé
etapas,étapes
alentado,encouragé
sur,sur
vientos,les vents
polvo,poudre
Broadway,larbu
adquirido,acquis
evaluar,évaluer
lavar,lavage
cartuchos,cartouches
piedras,des pierres
Entrada,entrée
gnomo,gnome
raíces,racines
declaración,déclaration
perdiendo,perdant
intento,tentatives
artilugio,gadgets
noble,noble
glasgow,glasgow
automatización,automatisation
impactos,impacts
Rvdo,tour
evangelio,gospel
ventajas,avantages
orilla,rive
ama,amours
inducido,induit
ll,ll
Caballero,Chevalier
preparando,en train de préparer
suelto,lâche
objetivos,but
recipiente,destinataire
enlace,mise en relation
extensiones,extensions
apelaciones,appel
cl,clocher
ganado,gagné
enfermedad,maladie
islámico,islamique
atletismo,athlétisme
Sureste,sud-est
IEEE,ieee
Ho,ho
alternativas,alternatives
pendiente,en attendant
parker,parker
determinando,déterminant
Líbano,Liban
corp,corpes
personalizado,personnalisé
Kennedy,kennedy
gt,gt
sh,SH
acondicionamiento,conditionnement
Adolescente,adolescent
jabón,du savon
ae,ae
triple,tripler
cobre,tonnelier
Nueva York,nycé
vicente,vexent
mermelada,Confiture
asegurado,sécurisé
raro,inhabituel
contestado,répondu
asociaciones,partenariats
destrucción,destruction
tragamonedas,machines à sous
cada vez más,de plus en plus
migración,migration
trastorno,désordre
rutina,routine
barra de herramientas,barre d'outils
básicamente,essentiellement
rocas,rochers
convencional,conventionnel
titanes,titans
solicitantes,candidats
vistiendo,portant
eje,axe
buscado,recherché
genes,gènes
montado,monté
habitat,habitat
firewall,pare-feu
mediana,médian
pistolas,armes à feu
escáner,scanner
Aquí en,ici
ocupacional,professionnel
animado,Animé
judicial,judiciaire
rio,rio
hs,hs
ajustamiento,ajustement
héroe,héros
entero,entier
tratos,traitements
soltero,bachelier
actitud,attitude
videocámaras,caméscopes
comprometido,engagé
descendente,chute
lo esencial,base
Montreal,montréalais
alfombra,tapis
rv,rv
estructura,structurer
lentes,lentilles
binario,binaire
genética,la génétique
asistido,assisté à
dificultad,difficulté
punk,punk
colectivo,collectif
coalición,coalition
Pi,pi
abandonó,chuté
inscripción,inscription
duque,Duc
Walter,walter
ai,ai
ritmo,rythme
además,outre
sueldo,salaire
productores,producteurs
Antiguo Testamento,tangne
coleccionista,collectionneur
arco,arc
Hospedadores,hôtes
interfaces,interfaces
anunciantes,annonceurs
momentos,des moments
atlas,atlas
instrumentos de cuerda,cordes
amanecer,Aube
representación,représentant
observación,observation
siente,se sent
tortura,torture
carl,carl
borrado,supprimé
Saco,manteau
Mitchell,mitchell
señora,Mme
Rica,rica
restauracion,restauration
conveniencia,commodité
de regreso,rentrant
ralph,ralph
oposición,opposition
envase,récipient
yr,yr
acusado,défendeur
Warner,warner
confirmación,confirmation
app,app
incorporado,embarqué
chorro de tinta,jet d'encre
supervisor,superviseur
mago,sorcier
cuerpo,corps
actores,acteurs
hígado,le foie
periféricos,périphériques
responsable,responsable
folleto,brochure
Morris,morré
Los más vendidos,best-sellers
petición,pétition
eminem,eminem
recordar,rappeler
antena,antenne
escogido,choisi
ficticio,assumé
salida,Départ
Minneapolis,minneapolis
creencia,croyance
asesinato,meurtre
bikini,bikini
Memphis,memphis
hombro,épaule
decoración,décor
buscar,chercher
textos,les textes
Harvard,Harvard
corredores,courtiers
roy,royal
ion,ion
diámetro,diamètre
Ottawa,Ottawa
muñeca,poupée
IC,ic
pódcast,Podcast
estaciones,saisons
Perú,Pérou
interacciones,interactions
refinar,affiner
licitador,soumissionnaire
cantante,chanteur
evanes,Evans
heraldo,héraut
literatura,l'alphabétisation
fallo,échoue
envejecimiento,vieillissement
nike,nike
intervención,intervention
alimentado,nourris
enchufar,brancher
atracción,attraction
buceo,plongée
invitación,inviter
modificación,modification
Alicia,alice
latinas,latinas
suponer,supposer
personalizado,personnalisé
Junco,roseau
involucrar,impliquer
moderar,modérer
terror,la terreur
mas joven,plus jeune
treinta,trente
ratones,souris
opuesto,contraire
comprendido,entendu
rápidamente,rapidement
tiempo de reparto,Time dual
prohibición,interdire
temperatura,tôle
intro,intro
Mercedes,Mercedes
zus,zus
garantía,assurance
empleado,employé de bureau
sucediendo,événement
vasto,vaste
fábrica,moulins
contorno,contour
enmiendas,amendements
tramadol,tramadol
Holanda,Hollande
recibe,recettes
pantalones,jeans
metropolitano,métropolitain
Compilacion,compilation
verificación,vérification
fuentes,polices
entrometerse,enterré
impar,impair
envoltura,envelopper
se refiere,se réfère
estado animico,humeur
favor,favoriser
veteranos,anciens combattants
examen,quiz
mochila,mx
sigma,sigma
gramo,gras
atractivo,attractif
xhtml,xhtml
ocasión,occasion
grabaciones,enregistrement
Jefferson,Jefferson
víctima,victime
demandas,demandes
dormido,en train de dormir
Cuidado,prudent
extinguirse,ext
Haz,rayonner
jardinería,jardinage
obligaciones,obligations
llegar,arrivée
orquesta,orchestre
puesta de sol,le coucher du soleil
rastreado,suivi
es más,de plus
mínimo,minimal
polifónico,polyphonique
lotería,loterie
tops,hauts
enmarcado,encadré
aparte,de côté
subcontratación,externalisation
licencia,Licence
ajustable,Ajustable
asignación,allocation
michillera,michelle
ensayo,essai
disciplina,la discipline
amy,amy
ts,TS
demostrado,démontré
diálogo,dialogue
identificando,identifier
alfabético,alphabétique
campamentos,camps
declarado,déclaré
enviado,expédié
Aaron,Aaron
Mano,de poche
rastro,trace
disposición,disposition
cerrar,fermer
floristas,fleuristes
paquetes,emballage
género,ge
instalación,installation
cambia,commutateur
Rumania,Roumanie
voluntario,volontaire
NCAA,NCAA
tú,tu
consultar,consulter
Doctor,doctorat
muy,très
blogging,blogging
máscara,masque
ciclismo,cyclisme
medianoche,minuit
ng,ng
comúnmente,communément
Educación física,PE
fotógrafo,photographe
informar,informer
turco,turc
carbón,charbon
llorar,cri
mensajería,Messagerie
pentium,pentium
cuántico,quantum
murray,murray
intención,intention
tt,tt
zoo,zoo
en gran parte,en grande partie
agradable,agréable
anunciar,annoncer
construido,construit
adiciones,addition
requiriendo,nécessitant
habló,parlait
AKA,alias
flecha,La Flèche
compromiso,engagement
muestreo,échantillonnage
áspero,rugueux
extraño,bizarre
tee,tee
refinanciar,refinancer
león,Lion
inspirado,inspiré
agujeros,des trous
bodas,mariages
espada,lame
repentinamente,soudainement
oxígeno,oxygène
Galleta,biscuit
comidas,repas
cañón,canyon
ir a,aller à
metros,mètres
simplemente,seulement
calendarios,calendriers
arreglo,arrangement
conclusiones,conclusions
pases,passes
bibliografía,bibliographie
puntero,aiguille
compatibilidad,compatibilité
estirarse,s'étirer
durham,durham
es más,en outre
permisos,autorisation
cooperativa,coopérative
musulmán,musulman
SG,xl
neil,neil
manga,manche
Netscape,Netscape
limpiador,nettoyeur
Grillo,criquet
carne de res,du bœuf
alimentación,alimentation
carrera,accident vasculaire cérébral
municipio,canton
clasificación,classement
medición,mesure
canalla,goujat
sombreros,Chapeaux
Robin,robin
Robinson,robinson
jacksonville,jacksonville
Correa,sangle
sede,quartier général
sharon,sharon
multitud,foule
TCP,TCP
transferencias,transfert
navegar,le surf
olímpico,olympique
transformación,transformation
se mantuvo,resté
archivos adjuntos,accessoires
dv,dv
dar,Dir
entidades,entités
costumbres,douane
administradores,administrateur
personalidad,personnalité
arcoíris,arc-en-ciel
gancho,accrocher
ruleta,roulette
disminución,déclin
guantes,des gants
israelí,israélien
seguro médico del estado,Medicare
cable,corde
esquí,ski
nube,nuage
facilitar,faciliter
abonado,abonné
válvula,soupape
Val,valourdine
hewlett,hewlett
explica,expliquer
Continuar,procéder
flickr,flickr
sentimientos,sentiments
cuchillo,couteau
Jamaica,Jamaïque
prioridades,priorités
estante,étagère
librería,librairie
momento,Horaire
apreciado,aimé
hija de crianza,parentalité
adoptar,adopter
denegado,refusé
fotos,fotos
increíble,incroyable
britney,Britney
freeware,logiciel libre
donación,don
exterior,extérieur
cultivo,recadrer
fallecidos,des morts
ríos,rivières
mancomunidad,Commonwealth
farmacéutico,pharmaceutique
Manhattan,Manhattan
cuentos,contes
katrina,katrina
personal,la main d'oeuvre
islam,Islam
nodos,nœuds
tu,toupette
fiscal,fy
pzuelos,pouce
semillas,des graines
citado,cité
lite,léger
ghz,GHz
centro,moyeu
dirigido,ciblé
organizativo,organisationnel
skype,skype
comprendió,réalisé
doce,Douze
fundador,fondateur
década,décennie
Cubo de juego,gamecube
rr,rr
disputa,contestation
portugués,Portugais
cansado,fatigué
tonto,trompé
adverso,négatif
En todas partes,partout
extracto,extrait
eng,fra
vapor,fumer
descarga,décharge
EF,ef
bebidas,boisson
as,as
voces,voix
agudo,aigu
Víspera de Todos los Santos,Halloween
escalada,escalade
destacado,se tenant
cantar,chanter
montones,tonnes
perfume,parfum
villancico,carol
honesto,honnête
albanía,albany
peligroso,hasardeux
restaurar,restaurer
apilar,empiler
metodología,méthodologie
alguien,quelqu'un
demandar,poursuivre en justice
EP,texte
embarcadero,ménagère
reputación,réputation
resistente,résistant
demócratas,démocrates
reciclaje,recyclage
colgar,pendre
GBP,GBP
curva,courbe
creador,créateur
ámbar,ambre
calificaciones,qualifications
museos,musées
codificación,codage
diapositivas,diaporama
rastreador,traqueur
variación,variation
paso,passage
transferido,transféré
maletero,tronc
senderismo,randonnée
lb,kg
Pierre,pierre
jelsoft,jelsoft
auriculares,casque
fotografía,photographier
Oakland,oakland
Colombia,Colombie
ondas,vagues
camello,chameau
distribuidor,distributeur
lámparas,les lampes
subyacente,sous-jacent
capucha,capuche
lucha,lutte
suicidio,suicide
archivado,archivé
Photoshop,photoshop
jp,jump
chi,chi
bt,bt
arabia,Saoudite
reunión,la cueillette
proyección,projection
jugo,jus
perseguir,chasser
matemático,mathématique
lógico,logique
salsa,sauce
fama,la célébrité
extraer,extrait
especializado,spécialisé
diagnóstico,diagnostique
Panamá,Panama
Indianápolis,Indianapolis
af,un F
pagadero,payable
corporaciones,des sociétés
cortesía,courtoisie
crítica,critique
automóvil,voiture
confidencial,confidentiel
rfc,rfc
estatutario,statutaire
Alojamientos,hébergement
Atenas,Athènes
Noreste,nord-est
descargado,téléchargé
jueces,juge
sl,sl
seo,référencement
retirado,retraité
isp,isp
comentarios,remarques
detectado,détectée
décadas,décennies
pinturas,peintures
caminado,promené
que surge,découpé
Nissan,Nissan
pulsera,bracelet
En s,ins
huevos,des œufs
juvenil,juvénile
inyección,injection
Yorkshire,Yorkshire
poblaciones,populations
protector,protecteur
temeroso,peur
acústico,acoustique
ferrocarril,chemin de fer
casete,cassette
inicialmente,initialement
indicador,indicateur
puntiagudo,pointu
media pensión,hb
jpg,jpg
causante,provoquant
error,erreur
norton,Norton
bloqueado,fermé à clé
eliminar,éliminer
tc,tc
fusión,la fusion
mineral,minéral
Gafas de sol,des lunettes de soleil
rubí,rubis
direccion,pilotage
rosario,perles
fortuna,fortune
preferencia,préférence
lienzo,Toile
umbral,seuil
parroquia,paroisse
reclamado,revendiqué
pantallas,écrans
cementerio,cimetière
planificador,planificateur
Croacia,Croatie
flujos,les flux
estadio,stade
Venezuela,Venezuela
exploración,exploration
minas,mines
menos,moins
secuencias,séquences
cupón,coupon
enfermeras,infirmières
ssl,ssl
madre,tige
apoderado,Procuration
astronomía,astronomie
lanka,lanka
optar,opter
Edwards,edwards
dibujó,a dessiné
concursos,concours
gripe,grippe
traducir,Traduire
anuncia,annonce
mlb,mlb
disfraz,costume
etiquetado,tagué
berkeley,berkeley
votado,voté
asesino,tueur
bicicleta,vélos
puertas,portes
equilibrado,ajusté
rap,rap
melodía,régler
obispo,évêque
tirado,tiré
maíz,maïs
gp,gp
conformado,en forme de
compresión,compression
estacional,saisonnier
establecimiento de,établissement
granjero,agriculteur
contadores,compteurs
pone,mette
constitucional,constitutionnel
creció,grandir
perfectamente,à la perfection
estaño,étain
esclavo,trimer
instantáneamente,immédiatement
culturas,des cultures
norfolk,norfolk
entrenamiento,encadrement
examinado,examiné
emigrar,randonnée
codificación,codage
litigio,litige
presentaciones,soumission
OEM,OEM
héroes,héros
pintado,peint
lycos,lycos
IR,ivre
zdnet,zdnet
radiodifusión,diffusion
horizontal,horizontal
obra de arte,ouvrages d'art
cosmético,cosmétique
resultó,abouti
retrato,portrait
terrorista,terroriste
informativo,d'information
ético,éthique
portadores,transporteur
comercio electrónico,commerce électronique
movilidad,mobilité
floral,floral
constructores,constructeurs
corbatas,liens
dificil,lutter
esquemas,schémas
sufrimiento,Souffrance
neutral,neutre
pescador,pêcheur
rata,rat
lanzas,lance
futuro,éventuel
lecho,literie
por último,finalement
unión,joindre
Bóveda,titre
Igualmente,également
artificial,artificiel
soportando,palier
espectacular,spectaculaire
coordinación,coordination
conector,connecteur
puntilla,brad
combo,combo
mayores,personne âgée
mundos,mondes
culpable,coupable
asociado,affilié
activación,Activation
naturalmente,naturellement
refugio,havre
tableta,tablette
jurado,jury
dos,dons
cola,queue
suscriptores,les abonnés
encanto,charme
césped,pelouse
violento,violent
mitsubishi,Mitsubishi
ropa interior,sous-vêtement
cuenca,bassin
sopa,soupe
potencialmente,potentiellement
rancho,ranch
restricciones,contraintes
cruce,traversée
inclusivo,compris
dimensional,dimensionnel
cabaña,chalet
borracho,ivre
considerable,considérable
delitos,crimes
resuelto,résolu
mozilla,Mozilla
byte,octet
virador,toner
nariz,nez
látex,latex
sucursales,branches
ya no,plus
OCLC,OCLC
Delhi,delhi
valores en cartera,exploitation
extraterrestre,extraterrestre
locador,localisateur
selección,sélectionnant
procesadores,processeurs
pantys,pantyhose
Sociedad Anónima,plc
rompió,fauché
Nepal,Népal
Zimbabue,Zimbabwe
dificultades,des difficultés
Juan,Juan
complejidad,complexité
msg,msg
constantemente,constamment
hojeada,navigation
resolver,résoudre
Barcelona,Barcelone
presidencial,présidentiel
documental,documentaire
bacalao,la morue
territorios,territoires
toronjil,mélisse
Moscú,Moscou
tesis,thèse
a través de,à travers
judío,les Juifs
nylon,nylon
palestino,palestinien
discos,disques
rocoso,rocheux
gangas,bonnes affaires
frecuente,fréquent
podar,garniture
Nigeria,Nigeria
techo,plafond
píxeles,pixels
garantizar,assurer
Hispano,hispanique
CV,CV
cb,cb
legislatura,corps législatif
hospitalidad,hospitalité
generoso,général
cualquiera,n'importe qui
obtención,approvisionnement
diamantes,diamants
ESPN,espn
flota,flotte
intitulado,sans titre
racimo,groupe
totales,totaux
Marriott,marriott
cantando,en chantant
teórico,théorique
poder pagar,s'offrir
ejercicios,des exercices
protagonizado,en vedette
remisión,référence
nhl,nhl
vigilancia,surveillance
óptimo,optimal
dejar,quitter
distinto,distinct
protocolos,protocoles
pulmón,poumon
destacar,surligner
sustituir,remplacer
inclusión,inclusion
Ojalá,avec un peu de chance
brillante,brillant
tornero,tourneur
succión,succion
centavos,centimes
reuters,Reuters
TI,Ti
fc,fc
gel,gel
Todd,Todd
hablado,parlé
omega,oméga
evaluado,évalué
permaneció,séjourné
cívico,civique
asignaciones,missions
fw,fw
manuales,manuels
doug,doux
ves,vœux
terminación,Résiliation
Visto,regardé
ahorrador,épargnant
del mismo,celui-ci
parrilla,gril
hogares,ménages
GS,gs
canjear,racheter
rogers,rogers
grano,grain
aaa,aaa
auténtico,authentique
régimen,régime
querer,voulez
deseos,vœux
Toro,taureau
Montgomery,mégomérie
arquitectónico,architectural
Louisville,Louisville
depender,dépendre
diferir de,différer
Macintosh,macintosh
movimientos,mouvements
vistoso,variant
Monica,Monica
refacción,réparations
aliento,souffle
comodidades,Agréments
virtualmente,virtuellement
col,Cole
mercado,marché
vela,bougie
colgando,suspendu
de colores,coloré
autorización,autorisation
cuento,conte
verificado,vérifié
lynn,lynn
antes,Auparavant
proyector,projecteur
bp,bp
situado,situé
comparativo,comparatif
std,tirade
busca,cherche
herbario,à base de plantes
cariñoso,aimant
estrictamente,strictement
enrutamiento,routage
doctores,docs
Stanley,Stanley
psicológico,psychologique
sorprendido,surpris
detallista,détaillant
vitaminas,vitamines
elegante,élégant
ganancias,gagne
renovación,renouvellement
vid,vid
genealogía,généalogie
opuesto,opposé
considerado,jugé
puntuación,notation
gasto,dépense
brooklyn,brooklyn
Liverpool,liverpool
hermanas,sœurs
crítica,critiques
conectividad,connectivité
lugares,taches
oo,oo
algoritmos,algorithmes
pirata informático,pirate
Madrid,Madrid
similar,de la même manière
margen,marge
moneda,pièce de monnaie
solamente,uniquement
falso,faux
salón,salon
colaborativo,collaboratif
normando,normand
FDA,FDA
Excluyendo,à l'exclusion
turbo,turbo
con membrete,à tête
votantes,électeurs
cura,guérir
Virgen,Madone
comandante,le commandant
arco,cambre
Ni,Ni
murphy,maudit
piensa,pense
esa es,c'est
sugerencia,suggestion
hdtv,hdtv
soldado,soldat
Phillips,phillips
como en,un péché
dirigido,viser
justin,Justin
bomba,bombe
dañar,préjudice
intervalo,intervalle
espejos,miroir
destacar,projecteur
trucos,des trucs
Reiniciar,réinitialiser
cepillar,brosser
investigar,enquêter
tu,tes
expansiones,expansys
paneles,panneaux
repetido,répété
asalto,agression
conexión,de liaison
repuesto,de rechange
logística,logistique
ciervo,cerf
Kodak,kodak
lengua,langue
bolos,bowling
tri,tri
danés,danois
camarada,copain
mono,singe
proporción,proportion
nombre del archivo,nom de fichier
falda,jupe
florencia,Florence
invertir,investir
miel,mon chéri
um,euh
análisis,analyses
dibujos,dessins
significado,importance
guión,scénario
S.M,vous
fs,fs
amantes,les amoureux
atómico,atomique
aprox,environ
simposio,symposium
Arábica,arabe
indicador,jauge
esencial,essentiel
unión,jonction
proteger,protection
nn,nn
enojado,confronté
estera,tapis
rachel,rachel
resolver,résolution
transmitido,transmis
fines de semana,fins de semaine
capturas de pantalla,captures d'écran
produce,produit
horno,four
ted,tiède
intensivo,intensif
cadenas,Chaînes
Kingston,kingston
sexto,sixième
comprometerse,engager
desviado,déviant
mediodía,le midi
traspuesta,commutation
citado,cité
adaptadores,adaptateur
correspondencia,correspondance
fincas,fermes
importaciones,importations
supervisión,surveillance
hacer trampa,Tricher
bronce,bronze
gastos,dépenses
arenoso,sablonneux
separación,séparation
testimonio,témoignage
sospechar,suspect
famosos,célébrités
macro,macro
remitente,expéditeur
obligatorio,obligatoire
límites,limites
crucial,crucial
sindicación,syndication
Gimnasio,gym
celebracion,fête
kde,kde
adyacente,adjacent
filtración,filtration
matrícula,frais de scolarité
esposa,conjoint
exótico,exotique
espectador,téléspectateur
inscribirse,s'inscrire
amenazas,des menaces
Luxemburgo,Luxembourg
rompecabezas,puzzles
alcanzado,atteint
vb,vb
dañado,endommagé
cámaras,cames
receptor,récepteur
reír,rire
joel,joel
quirúrgico,chirurgical
destruir,détruire
citación,citation
terreno de juego,terrain
autos,automates
yo,yo
local,locaux
sidra de pera,poiré
demostrado,prouvé
ofensiva,offensive
imperial,impérial
docena,douzaine
Benjamín,Benjamin
despliegue,déploiement
dientes,les dents
tela,chiffon
estudiando,en train d'étudier
colegas,collègues
sello,timbre
loto,lotus
salmón,Saumon
Olimpo,Olympe
apartado,séparé
proc,procéder à
carga,cargaison
broncearse,bronzer
directiva,directif
fx,fx
salem,salée
compañero,camarade
dl,dl
inicio,entrée
actualizaciones,mises à niveau
gustos,aime
manteca,Beurre
pimienta,poivre
arma,arme
equipaje,bagage
carga,charge
cocinero,chef
cintas,bandes
zonas,Zones
Razas,les courses
isla,île
elegante,élégant
Delgado,maigrir
arce,érable
lucero,Luke
tienda de comestibles,épicerie
costa afuera,offshore
gobernante,gouvernant
minoristas,détaillants
deposito,dépôt
Kenneth,kenneth
compuesto,compression
alt,alt
tarta,tarte
mezcla,mélanger
horrison,hardison
ls,ls
julie,julie
de vez en cuando,parfois
cbs,CBS
asistiendo,assister à
emisión,émission
pete,peté
Especificaciones,spectacle
mejor,meilleur
bienes raíces,immobilier
Janet,janet
inclinarse,arc
penn,penn
reclutamiento,recrutement
aparente,apparent
instructivo,pédagogique
phpbb,phpbb
otoño,automne
de viaje,en voyageant
Investigacion,sonde
MIDI,midi
permisos,autorisation
biotecnología,biotechnologie
inodoro,toilette
clasificado,classé
chaquetas,vestes
rutas,routes
lleno,emballé
emocionado,excité
superar a,sensibiliser
helen,helen
montaje,montage
recuperar,se remettre
atado,attaché
lópez,lopez
equilibrado,équilibré
prescrito,prescrit
catherine,Catherine
oportuno,opportun
habló,a parlé
depurar,déboguer
demorado,différé
arrojar,mandrin
reproducido,reproduit
estupendo,honorer
valle,vallée
explícito,explicite
cálculo,calcul
villas,villas
libro electronico,livre électronique
consolidado,consolidés
excluir,exclure
pipí,pipi
ocasiones,occasions
Arroyos,ruisseau
ecuaciones,équations
Newton,newton
aceites,huiles
septiembre,septembre
excepcional,exceptionnel
ansiedad,anxiété
bingo,bingo
mientras que,tandis que
espacial,spatial
encuestados,répondants
hasta,à
lt,lt
cerámico,céramique
inmediato,rapide
precioso,précieux
mentalidad,esprits
anualmente,annuellement
consideraciones,considérations
escáneres,scanners
Cajero automático,au m
xanax,xanax
eq,éq
paga,paie
dedos,les doigts
soleado,ensoleillé
libros electrónicos,livres électroniques
entrega,délivre
je,je
Queensland,Queensland
collar,Collier
músicos,les musiciens
leeds,leeds
compuesto,composite
indisponible,indisponible
cedro,cèdre
organizado,arrangé
langoso,languer
teatros,théâtres
Abogacía,plaidoyer
raleigh,râleur
semental,étalon
pliegue,plier
esencialmente,essentiellement
diseño,conception
roscado,fileté
UV,uv
calificar,qualifier
blair,Blair
esperanzas,espoir
evaluaciones,évaluations
cms,cms
masón,le maçon
diagrama,diagramme
quemaduras,brûler
zapatillas,pompes
calzado,chaussure
sg,sg
víctima,vierge
Beijing,Pékin
pueblos,peuples
Víctor,Victor
mario,Mario
pos,point de vue
adjuntar,attacher
licencias,licences
utilidades,utils
eliminación,enlever
aconsejado,informé
brunswick,brunswick
araña,araignée
phys,corporel
rangos,gammes
pares,paires
sensibilidad,sensibilité
caminos,les sentiers
preservación,préservation
Hudson,Hudson
aislado,isolé
calgary,calgaire
provisional,intérimaire
asistido,assisté
adivinar,Divin
transmisión,Diffusion
aprobar,approuver
escoger,choisi
compuesto,composé
intensidad,intensité
tecnológico,technologique
sindicato,syndicat
aborto,Avortement
diálogo,dialogue
lugares,sites
explosión,détruire
bienestar,bien-être
calcio,calcium
Newport,Newport
antivirus,antivirus
direccionamiento,adressage
polo,pôle
descontado,réduit
indios,Indiens
blindaje,protéger
cosecha,récolte
membrana,membrane
Praga,prague
vistas previas,Prévisualisation
Bangladesh,bangladesh
constituir,constituer
en la zona,localement
concluido,conclu
recoger,Récupérer
desesperado,désespéré
madres,mères
nascar,nascar
Islandia,Islande
demostración,manifestation
gubernamental,gouvernemental
fabricado,fabriqué
velas,bougies
graduación,l'obtention du diplôme
mega,méga
curva,pliez
navegación,voile
variaciones,variations
mamás,mamans
sagrado,sacré
adiccion,dépendance
Marruecos,Maroc
cromo,chrome
Tommy,tommy
Springfield,Springfield
rechazado,refusé
freno,frein
exterior,extérieur
saludo,salutation
ecología,écologie
Oliver,oliver
congo,congo
cañada,glen
botsuana,Botswana
navegante,navire
retrasos,retard
síntesis,synthèse
aceituna,olive
indefinido,indéfini
desempleo,chômage
cibernético,cyber
verizon,verizon
anotado,marqué
mejora,renforcement
Newcastle,Newcastle
clon,cloner
velocidad,rapidité
lambda,lambda
relé,relais
compuesto,composé
lágrimas,des larmes
actuaciones,les performances
oasis,oasis
base,base
taxi,taxi
enfadado,en colère
fa,FA
sociedades,sociétés
silicio,silicium
brasileño,brésilien
idéntico,identique
petróleo,pétrole
competir,rivaliser
es,ist
noruego,norvégien
amante,amoureux
pertenecer,appartenir
Honolulu,honolulu
beatles,beatles
labios,lèvres
retencion,rétention
intercambios,des échanges
estanque,étang
rollos,Rouleaux
Thomson,Thomson
Barnes,barnes
banda sonora,bande sonore
preguntarse,se demandant
Malta,Malte
Papito,papa
lc,lc
transportar,traversier
Conejo,lapin
profesión,métier
asientos,sièges
represa,endiguer
cnn,cnn
por separado,séparément
fisiología,physiologie
pequeño,p'tit
recolección,collecte
das,da
exportaciones,exportations
omaha,omaha
neumático,pneu
partícipe,participant
becas,Bourses d'études
recreativo,récréatif
dominicano,dominicain
Chad,chadre
electrón,électron
cargas,charges
amistad,Amitié
brezo,chauffage
pasaporte,passeport
motel,motel
sindicatos,syndicats
tesorería,Trésorerie
orden,garantir
sys,Sys
solaris,solaris
congelado,gelé
ocupado,occupé
josh,Josh
realeza,royalties
escamas,Balance
reunión,se rallier
observador,observateur
Brillo Solar,ensoleillement
cepa,souche
arrastrar,glisser
ceremonia,la cérémonie
de alguna manera,en quelque sorte
detenido,arrêté
en expansión,expansion
provincial,provincial
investigaciones,enquêteurs
ICQ,ICQ
maduro,mûr
YAMAHA,Yamaha
confiar,compter sur
medicamentos,médicaments
hebreo,hébreu
ganado,gagné
Rochester,rochester
muriendo,mourant
lavandería,lessive
pegado,bloqué
Salomón,Salomon
colocación,placement
paradas,arrêts
tarea,devoirs
ajustar,régler
juzgado,évalué
anunciante,annonceur
habilitación,habilitant
cifrado,chiffrement
relleno,remplissage
descargable,téléchargeable
sofisticado,sophistiqué
impuso,imposé
silencio,silence
scsi,SCSI
enfocado,se concentrer
Soviético,soviétique
posesión,possession
cúbito,cu
laboratorios,laboratoires
tratado,traité
vocal,vocal
entrenador,entraîneur
Organo,organe
más fuerte,plus forte
volúmenes,volumes
avances,avances
verduras,les légume
limón,citron
tóxico,toxique
DNS,DNS
miniaturas,vignettes
oscuridad,obscurité
pty,pty
ws,ws
nueces,des noisettes
clavo,ongle
bizrecuencia,bizre
Viena,vienna
implícito,implicite
lapso,envergure
Stanford,Stanford
sox,sox
medias,bas
broma,plaisanter
demandado,intimé
embalaje,emballage
