French,English
moléculaire,molecular
agissant,acting
têtes,heads
stocké,stored
examen,exam
logos,logos
résidence,residence
Avocats,attorneys
antiquités,antiques
densité,density
cent,hundred
ryan,ryan
les opérateurs,operators
étrange,strange
durable,sustainable
philippines,philippines
statistique,statistical
des lits,beds
mention,mention
innovation,innovation
pcs,pcs
employeurs,employers
gris,grey
parallèle,parallel
honda,honda
modifié,amended
fonctionner,operate
factures,bills
gras,bold
salle de bains,bathroom
stable,stable
opéra,opera
définitions,definitions
von,von
médecins,doctors
cours,lesson
cinéma,cinema
actif,asset
agile,ag
analyse,scan
élections,elections
en buvant,drinking
réaction,reaction
Vide,blank
amélioré,enhanced
intitulé,entitled
sévère,severe
produire,generate
inoxydable,stainless
journaux,newspapers
hôpitaux,hospitals
vi,vi
de luxe,deluxe
humour,humor
vieilli,aged
moniteurs,monitors
exception,exception
vivait,lived
durée,duration
masse,bulk
avec succès,successfully
Indonésie,indonesia
en vertu de,pursuant
Sci,sci
en tissu,fabric
EDT,edt
visites,visits
principalement,primarily
serré,tight
domaines,domains
capacités,capabilities
pem,pmid
contraste,contrast
recommandation,recommendation
en volant,flying
recrutement,recruitment
péché,sin
Berlin,berlin
mignonne,cute
organisé,organized
Ba,ba
para,para
Siemens,siemens
adoption,adoption
amélioration,improving
Cr,cr
cher,expensive
censé,meant
Capturer,capture
livres sterling,pounds
buffle,buffalo
organisations,organisations
avion,plane
pg,pg
expliqué,explained
la graine,seed
programmes,programmes
désir,desire
compétence,expertise
mécanisme,mechanism
camping,camping
ee,ee
bijoux,jewellery
se rencontre,meets
bien-être,welfare
pair,peer
attrapé,caught
finalement,eventually
marqué,marked
conduit,driven
mesuré,measured
mec,medline
bouteille,bottle
les accords,agreements
considérant,considering
innovant,innovative
marshall,marshall
massage,massage
caoutchouc,rubber
conclusion,conclusion
fermeture,closing
tampa,tampa
mille,thousand
Viande,meat
Légende,legend
la grâce,grace
Susan,susan
ing,ing
ks,ks
adams,adams
python,python
monstre,monster
alex,alex
claquer,bang
villa,villa
OS,bone
Colonnes,columns
troubles,disorders
Bugs,bugs
collaboration,collaboration
hamilton,hamilton
détection,detection
ftp,ftp
biscuits,cookies
intérieur,inner
formation,formation
Didacticiel,tutorial
mec,med
ingénieurs,engineers
entité,entity
Croisières,cruises
portail,gate
titulaire,holder
les propositions,proposals
modérateur,moderator
SW,sw
tutoriels,tutorials
règlement,settlement
le Portugal,portugal
lawrence,lawrence
romain,roman
fonctions,duties
de valeur,valuable
Ton,tone
collectionnures,collectables
éthique,ethics
pour toujours,forever
dragon,dragon
occupé,busy
capitaine,captain
fantastique,fantastic
imaginer,imagine
apporte,brings
chauffage,heating
jambe,leg
cou,neck
HD,hd
aile,wing
Gouvernements,governments
achat,purchasing
scripts,scripts
abc,abc
stéréo,stereo
nommé,appointed
goût,taste
transaction,dealing
s'engager,commit
minuscule,tiny
opérationnel,operational
rail,rail
compagnies aériennes,airlines
libéral,liberal
livecam,livecam
geai,jay
voyages,trips
écart,gap
côtés,sides
tube,tube
se tourne,turns
correspondant,corresponding
descriptions,descriptions
cache,cache
ceinture,belt
veste,jacket
détermination,determination
animation,animation
oracle,oracle
er,er
Matthieu,matthew
bail,lease
productions,productions
aviation,aviation
passe-temps,hobbies
fier,proud
excès,excess
catastrophe,disaster
console,console
commandes,commands
jr,jr
télécommunications,telecommunications
instructeur,instructor
géant,giant
obtenu,achieved
blessures,injuries
Expédié,shipped
des places,seats
approches,approaches
bizarre,biz
alarme,alarm
Tension,voltage
anthony,anthony
Nintendo,nintendo
habituel,usual
Chargement en cours,loading
timbres,stamps
apparu,appeared
franc,franklin
angle,angle
Rob,rob
vinyle,vinyl
points forts,highlights
exploitation minière,mining
designers,designers
melbourne,melbourne
en cours,ongoing
pire,worst
imagerie,imaging
pari,betting
scientifiques,scientists
liberté,liberty
Wyoming,wyoming
blackjack,blackjack
Argentine,argentina
ère,era
convertir,convert
possibilité,possibility
analyste,analyst
le commissaire,commissioner
dangereux,dangerous
garage,garage
passionnant,exciting
fiabilité,reliability
strings,thongs
gcc,gcc
Malheureusement,unfortunately
respectivement,respectively
bénévoles,volunteers
attachement,attachment
sonnerie,ringtone
Finlande,finland
Morgan,morgan
dérivé,derived
plaisir,pleasure
honneur,honor
aspic,asp
orienté,oriented
Aigle,eagle
ordinateurs de bureau,desktops
les pantalons,pants
Colomb,columbus
infirmière,nurse
prière,prayer
rendez-vous,appointment
ateliers,workshops
ouragan,hurricane
calmer,quiet
chance,luck
affranchissement,postage
producteur,producer
représentée,represented
hypothèques,mortgages
cadran,dial
responsabilités,responsibilities
du fromage,cheese
bande dessinée,comic
avec attention,carefully
jet,jet
productivité,productivity
investisseurs,investors
couronner,crown
par,par
sous la terre,underground
diagnostic,diagnosis
fabricant,maker
fissure,crack
principe,principle
choix,picks
les vacances,vacations
gang,gang
semestre,semester
calculé,calculated
fétiche,fetish
s'applique,applies
casinos,casinos
apparence,appearance
fumée,smoke
apache,apache
filtres,filters
incorporé,incorporated
nv,nv
artisanat,craft
gâteau,cake
des cahiers,notebooks
une part,apart
compagnon,fellow
aveugle,blind
salon,lounge
fou,mad
algorithme,algorithm
semi,semi
pièces de monnaie,coins
Andy,andy
brut,gross
fortement,strongly
café,cafe
Valentin,valentine
hilton,hilton
ken,ken
protéines,proteins
horreur,horror
sucrer,su
exp,exp
familier,familiar
capable,capable
Douglas,douglas
debian,debian
jusqu'à,till
impliquant,involving
stylo,pen
investissement,investing
Christopher,christopher
admission,admission
Epson,epson
chaussure,shoe
élu,elected
portant,carrying
la victoire,victory
sable,sand
Madison,madison
terrorisme,terrorism
joie,joy
éditions,editions
CPU,cpu
surtout,mainly
ethnique,ethnic
faire courir,ran
parlement,parliament
acteur,actor
découvre,finds
joint,seal
situations,situations
cinquième,fifth
alloué,allocated
citoyen,citizen
verticale,vertical
correction,corrections
de construction,structural
municipal,municipal
décrit,describes
prix,prize
sr,sr
se produit,occurs
jon,jon
absolu,absolute
handicapées,disabilities
consiste,consists
à toute heure,anytime
substance,substance
interdit,prohibited
adressé,addressed
mensonges,lies
tuyau,pipe
soldats,soldiers
nr,nr
Gardien,guardian
conférence,lecture
simulation,simulation
disposition,layout
initiatives,initiatives
malade,ill
concentration,concentration
classique,classics
Kg,lbs
allonger,lay
interprétation,interpretation
les chevaux,horses
MDR,lol
sale,dirty
plate-forme,deck
cheminée,wayne
faire un don,donate
a enseigné,taught
la faillite,bankruptcy
député,mp
ouvrier,worker
optimisation,optimization
vivant,alive
temple,temple
substances,substances
prouver,prove
découvert,discovered
ailes,wings
rupture,breaks
génétique,genetic
restrictions,restrictions
participant,participating
eaux,waters
promesse,promise
mince,thin
exposition,exhibition
préférer,prefer
crête,ridge
cabinet,cabinet
modem,modem
harris,harris
mph,mph
apportant,bringing
malade,sick
dose,dose
évaluer,evaluate
tiffany,tiffany
tropical,tropical
collecter,collect
pari,bet
composition,composition
Toyota,toyota
des rues,streets
à l'échelle nationale,nationwide
vecteur,vector
absolument,definitely
rasé,shaved
tournant,turning
amortir,buffer
violet,purple
existence,existence
commentaire,commentary
larry,larry
limousines,limousines
développements,developments
defer,def
immigration,immigration
destinations,destinations
laisse,lets
mutuel,mutual
pipeline,pipeline
nécessairement,necessarily
syntaxe,syntax
li,li
attribut,attribute
prison,prison
compétence,skill
chaises,chairs
NL,nl
tous les jours,everyday
Apparemment,apparently
alentours,surrounding
montagnes,mountains
se déplace,moves
popularité,popularity
demande,inquiry
Ethernet,ethernet
vérifié,checked
exposition,exhibit
lancer,throw
tendance,trend
sierra,sierra
visible,visible
chats,cats
désert,desert
postposted,postposted
ya,ya
aîné,oldest
rhode,rhode
nba,nba
coordinateur,coordinator
évidemment,obviously
Mercure,mercury
steven,steven
manuel,handbook
greg,greg
naviguer,navigate
pire,worse
sommet,summit
victimes,victims
EPA,epa
les espaces,spaces
fondamental,fundamental
brûlant,burning
échapper,escape
coupons,coupons
quelque peu,somewhat
destinataire,receiver
substantiel,substantial
t,tr
progressive,progressive
cialis,cialis
bb,bb
bateaux,boats
coup d'œil,glance
Écossais,scottish
championnat,championship
arcade,arcade
richmond,richmond
sacramento,sacramento
impossible,impossible
ron,ron
russell,russell
révéler,tells
évident,obvious
fibre,fiber
dépression,depression
graphique,graph
couvrant,covering
platine,platinum
jugement,judgment
chambres,bedrooms
pourparlers,talks
dépôt,filing
favoriser,foster
la modélisation,modeling
qui passe,passing
récompensé,awarded
témoignages,testimonials
essais,trials
tissu,tissue
nz,nz
souvenir des souvenirs,memorabilia
clinton,clinton
maîtrise,masters
obligations,bonds
cartouche,cartridge
Alberta,alberta
explication,explanation
populaire,folk
org,org
Chambre des communes,commons
cincinnati,cincinnati
sous-section,subsection
fraude,fraud
électricité,electricity
permis,permitted
spectre,spectrum
arrivée,arrival
d'accord,okay
poterie,pottery
accent,emphasis
roger,roger
aspect,aspect
lieu de travail,workplace
impressionnant,awesome
mexicain,mexican
confirmé,confirmed
comptes,counts
cher,priced
papiers peints,wallpapers
hist,hist
crash,crash
ascenseur,lift
voulu,desired
Inter,inter
plus proche,closer
suppose,assumes
hauteurs,heights
ombre,shadow
équitation,riding
infection,infection
firefox,firefox
lisa,lisa
frais,expense
bosquet,grove
admissibilité,eligibility
entreprise,venture
clinique,clinic
coréen,korean
guérison,healing
Princesse,princess
galerie marchande,mall
entrant,entering
paquet,packet
vaporisateur,spray
studios,studios
participation,involvement
père,dad
boutons,buttons
placement,placement
observations,observations
vrulletin,vbulletin
financé,funded
thompson,thompson
gagnants,winners
se déployer,extend
routes,roads
subséquent,subsequent
tapoter,pat
dublin,dublin
roulant,rolling
est tombée,fell
moto,motorcycle
Cour,yard
divulgation,disclosure
établissement,establishment
souvenirs,memories
nelson,nelson
te,te
arrivée,arrived
crée,creates
visages,faces
touristique,tourist
un V,av
maire,mayor
meurtre,murder
Sean,sean
adéquat,adequate
sénateur,senator
rendement,yield
présentations,presentations
grades,grades
les dessins animés,cartoons
verser,pour
digérer,digest
régler,reg
hébergement,lodging
faire,tion
poussière,dust
Par conséquent,hence
wiki,wiki
entièrement,entirely
remplacé,replaced
radar,radar
porter secours,rescue
premier cycle,undergraduate
pertes,losses
combat,combat
réduire,reducing
arrêté,stopped
Occupation,occupation
des lacs,lakes
des dons,donations
les associations,associations
citysearch,citysearch
étroitement,closely
radiation,radiation
journal intime,diary
sérieusement,seriously
rois,kings
tournage,shooting
kent,kent
ajoute,adds
NSW,nsw
oreille,ear
Drapeaux,flags
pci,pci
boulanger,baker
lancé,launched
autre part,elsewhere
la pollution,pollution
conservateur,conservative
livre d'or,guestbook
choc,shock
efficacité,effectiveness
des murs,walls
à l'étranger,abroad
ébène,ebony
attacher,tie
salle,ward
dessiné,drawn
arthur,arthur
ian,ian
a visité,visited
toit,roof
marcheur,walker
démontrer,demonstrate
atmosphère,atmosphere
suggère,suggests
embrasser,kiss
bête,beast
rad,ra
exploité,operated
expérience,experiment
cibles,targets
à l'étranger,overseas
achats,purchases
Esquive,dodge
Conseil,counsel
fédération,federation
Pizza,pizza
invité,invited
mètres,yards
mission,assignment
produits chimiques,chemicals
Gordon,gordon
modeler,mod
Les agriculteurs,farmers
rc,rc
interrogation,queries
BMW,bmw
se ruer,rush
Ukraine,ukraine
absence,absence
la plus proche,nearest
grappe,cluster
vendeurs,vendors
MPEG,mpeg
tandis que,whereas
yoga,yoga
serre,serves
les bois,woods
surprendre,surprise
lampe,lamp
rico,rico
partiel,partial
acheteur,shoppers
philos,phil
Tout le monde,everybody
des couples,couples
Nashville,nashville
classement,ranking
blagues,jokes
CST,cst
http,http
PDG,ceo
simpson,simpson
Twiki,twiki
sublime,sublime
conseils,counseling
palais,palace
acceptable,acceptable
satisfait,satisfied
content de,glad
gagne,wins
des mesures,measurements
Vérifier,verify
globe,globe
de confiance,trusted
le cuivre,copper
milwaukee,milwaukee
étagère,rack
des médicaments,medication
dépot,warehouse
shareware,shareware
CE,ec
représentant,rep
dicke,dicke
kerry,kerry
reçu,receipt
supposé,supposed
ordinaire,ordinary
personne,nobody
fantôme,ghost
violation,violation
configurer,configure
stabilité,stability
mitoyer,mit
appliquer,applying
sud-ouest,southwest
chef,boss
Orgueil,pride
institutionnel,institutional
attentes,expectations
indépendance,independence
connaissance,knowing
journaliste,reporter
métabolisme,metabolism
keith,keith
champion,champion
nuageux,cloudy
linda,linda
rossage,ross
personnellement,personally
Chili,chile
anna,anna
beaucoup,plenty
solo,solo
phrase,sentence
gorge,throat
ignorer,ignore
maria,maria
uniforme,uniform
excellence,excellence
richesse,wealth
haut,tall
rm,rm
quelque part,somewhere
vide,vacuum
dansant,dancing
les attributs,attributes
reconnaître,recognize
laiton,brass
écrit,writes
place,plaza
pdas,pdas
résultats,outcomes
survie,survival
quête,quest
publier,publish
sri,sri
dépistage,screening
doigt de pied,toe
la vignette,thumbnail
trans,trans
jonathan,jonathan
n'importe quand,whenever
nova,nova
durée de vie,lifetime
API,api
pionnier,pioneer
butin,booty
oublié,forgotten
acrobate,acrobat
plaques,plates
acres,acres
lieu,venue
sportif,athletic
thermique,thermal
essais,essays
comportement,behaviour
vital,vital
récit,telling
équitablement,fairly
côtier,coastal
configuration,config
cf,cf
charité,charity
intelligente,intelligent
Edinbourg,edinburgh
Vermont,vt
exceller,excel
modes,modes
obligation,obligation
campbell,campbell
se réveiller,wake
stupide,stupid
port,harbor
Hongrie,hungary
voyageur,traveler
urw,urw
segment,segment
prendre conscience de,realize
indépendamment,regardless
lan,lan
ennemi,enemy
puzzle,puzzle
en hausse,rising
aluminium,aluminum
puits,wells
wishlist,wishlist
s'ouvre,opens
aperçu,insight
SMS,sms
limité,restricted
républicain,republican
secrets,secrets
chanceux,lucky
dernier,latter
marchands,merchants
épais,thick
bandes annonces,trailers
répéter,repeat
syndrome,syndrome
Philips,philips
présence,attendance
peine,penalty
tambouriner,drum
lunettes,glasses
active,enables
nec,nec
irakien,iraqi
constructeur,builder
vue,vista
Jessica,jessica
frites,chips
épineux,terry
inondation,flood
foto,foto
faciliter,ease
arguments,arguments
amsterdam,amsterdam
arène,arena
aventures,adventures
élèves,pupils
Stewart,stewart
annonce,announcement
onglets,tabs
résultat,outcome
apprécier,appreciate
étendu,expanded
décontractée,casual
cultivé,grown
polonais,polish
beau,lovely
Suppléments,extras
gm,gm
centres,centres
joyeux,jerry
clause,clause
le sourire,smile
terres,lands
ri,ri
troupes,troops
intérieur,indoor
Bulgarie,bulgaria
armé,armed
courtier,broker
chargeur,charger
régulièrement,regularly
a cru,believed
pin,pine
refroidissement,cooling
tendre,tend
golfe,gulf
rt,rt
meule,rick
camion,trucks
cp,cp
mécanismes,mechanisms
divorce,divorce
Laura,laura
client,shopper
tokyo,tokyo
partiellement,partly
nikon,nikon
Personnaliser,customize
tradition,tradition
Des bonbons,candy
pilules,pills
tigre,tiger
donald,donald
gens,folks
capteur,sensor
exposé,exposed
télécommunication,telecom
chasser,hunt
anges,angels
adjoint,deputy
indicateurs,indicators
scellé,sealed
thaïlandais,thai
émission,emissions
médecins,physicians
chargé,loaded
fred,fred
plainte,complaint
scènes,scenes
expériences,experiments
Afghanistan,afghanistan
dd,dd
renforcer,boost
fessée,spanking
Bourse d'études,scholarship
gouvernance,governance
moulin,mill
fondé,founded
suppléments,supplements
chronique,chronic
Icônes,icons
moral,moral
tanière,den
restauration,catering
aud,aud
doigt,finger
garde,keeps
broyer,pound
Localiser,locate
caméscope,camcorder
PL,pl
qualifié,trained
brûler,burn
exécution,implementing
des roses,roses
laboratoires,labs
nous-mêmes,ourselves
pain,bread
le tabac,tobacco
en bois,wooden
moteurs,motors
dure,tough
roberts,roberts
incident,incident
va,gonna
dynamique,dynamics
mentir,lie
crm,crm
rf,rf
conversation,conversation
diminuer,decrease
coffre,chest
Pension,pension
gamelle,billy
revenus,revenues
émergent,emerging
vénération,worship
aptitude,capability
ak,ak
Fe,fe
crainder,craig
se,herself
produit,producing
des églises,churches
précision,precision
dégâts,damages
réserves,reserves
contribué,contributed
résoudre,solve
shorts,shorts
la reproduction,reproduction
minorité,minority
TD,td
diverse,diverse
ampère,amp
Ingrédients,ingredients
sb,sb
ah,ah
Johnny,johnny
Unique,sole
la franchise,franchise
enregistreur,recorder
plainte,complaints
orienté vers,facing
sm,sm
nancy,nancy
promotions,promotions
tons,tones
la passion,passion
réhabilitation,rehabilitation
maintien,maintaining
vue,sight
posé,laid
argile,clay
la défense,defence
patchs,patches
faible,weak
remboursement,refund
usc,usc
les villes,towns
environnements,environments
trémorale,trembl
divisé,divided
blv,blvd
accueil,reception
amd,amd
sage,wise
courriels,emails
Chypre,cyprus
wv,wv
chances,odds
correctement,correctly
insister,insider
séminaires,seminars
conséquences,consequences
décideur,makers
cœurs,hearts
géographie,geography
apparaissant,appearing
intégrité,integrity
s'inquiéter,worry
ns,ns
discrimination,discrimination
veille,eve
charretier,carter
héritage,legacy
marc,marc
heureux,pleased
danger,danger
vitamine,vitamin
largement,widely
traité,processed
phrase,phrase
authentique,genuine
élevage,raising
implications,implications
Fonctionnalité,functionality
paradis,paradise
hybride,hybrid
lit,reads
les rôles,roles
intermédiaire,intermediate
émotif,emotional
fils,sons
feuille,leaf
tampon,pad
gloire,glory
plateformes,platforms
ja,ja
plus gros,bigger
facturation,billing
diesel,diesel
contre,versus
combiner,combine
pendant la nuit,overnight
géographique,geographic
dépasser,exceed
bs,bs
tige,rod
saoudien,saudi
la faute,fault
Cuba,cuba
HRS,hrs
préliminaire,preliminary
les quartiers,districts
présenter,introduce
soie,silk
promotionnel,promotional
kate,kate
chevrolet,chevrolet
bébés,babies
bi,bi
karen,karen
compilé,compiled
romantique,romantic
révélé,revealed
spécialistes,specialists
Générateur,generator
albert,albert
examiner,examine
Jimmy,jimmy
graham,graham
suspension,suspension
bristol,bristol
Margaret,margaret
compaq,compaq
triste,sad
correction,correction
Loup,wolf
lentement,slowly
authentification,authentication
communiquer,communicate
le rugby,rugby
supplément,supplement
shentimes,showtimes
cal,cal
portions,portions
bébé,infant
promouvoir,promoting
secteurs,sectors
samuel,samuel
fluide,fluid
terrains,grounds
conversation,fits
coup,kick
Cordialement,regards
repas,meal
ta,ta
blesser,hurt
machinerie,machinery
bande passante,bandwidth
contrairement à,unlike
équation,equation
paniers,baskets
probabilité,probability
pot,pot
dimension,dimension
hurler,wright
img,img
barry,barry
éprouvé,proven
des horaires,schedules
admission,admissions
mis en cache,cached
garenne,warren
glisser,slip
étudié,studied
critique,reviewer
implique,involves
trimestriel,quarterly
rpm,rpm
bénéfices,profits
diable,devil
herbe,grass
se conformer,comply
Marie,marie
fleuriste,florist
illustré,illustrated
cerise,cherry
continental,continental
alterner,alternate
deutsch,deutsch
réussite,achievement
limites,limitations
Kenya,kenya
webcam,webcam
coupure,cuts
funérailles,funeral
nutten,nutten
des boucles d'oreilles,earrings
apprécié,enjoyed
automatique,automated
chapitres,chapters
pipi,pee
charlie,charlie
Québec,quebec
passager,passenger
pratique,convenient
dennis,dennis
Mars,mars
Francis,francis
téléviseur,tvs
de taille,sized
manga,manga
remarqué,noticed
prise,socket
silencieux,silent
littéraire,literary
Oeuf,egg
MHz,mhz
signaux,signals
casquettes,caps
orientation,orientation
pilule,pill
vol,theft
enfance,childhood
balançoire,swing
symboles,symbols
lat,lat
méta,meta
humains,humans
analogique,analog
facial,facial
choix,choosing
Talent,talent
daté,dated
la flexibilité,flexibility
chercheur,seeker
sagesse,wisdom
tirer,shoot
frontière,boundary
menthe,mint
packard,packard
décalage,offset
paie,payday
Philippe,philip
élite,elite
gi,gi
tournoyer,spin
titulaires,holders
croit que,believes
suédois,swedish
poèmes,poems
date limite,deadline
juridiction,jurisdiction
robot,robot
affichage,displaying
témoin,witness
collins,collins
équipé,equipped
étapes,stages
encouragé,encouraged
sur,sur
les vents,winds
poudre,powder
larbu,broadway
acquis,acquired
évaluer,assess
lavage,wash
cartouches,cartridges
des pierres,stones
entrée,entrance
gnome,gnome
racines,roots
déclaration,declaration
perdant,losing
tentatives,attempts
gadgets,gadgets
noble,noble
glasgow,glasgow
automatisation,automation
impacts,impacts
tour,rev
gospel,gospel
avantages,advantages
rive,shore
amours,loves
induit,induced
ll,ll
Chevalier,knight
en train de préparer,preparing
lâche,loose
but,aims
destinataire,recipient
mise en relation,linking
extensions,extensions
appel,appeals
clocher,cl
gagné,earned
maladie,illness
islamique,islamic
athlétisme,athletics
sud-est,southeast
ieee,ieee
ho,ho
alternatives,alternatives
en attendant,pending
parker,parker
déterminant,determining
Liban,lebanon
corpes,corp
personnalisé,personalized
kennedy,kennedy
gt,gt
SH,sh
conditionnement,conditioning
adolescent,teenage
du savon,soap
ae,ae
tripler,triple
tonnelier,cooper
nycé,nyc
vexent,vincent
Confiture,jam
sécurisé,secured
inhabituel,unusual
répondu,answered
partenariats,partnerships
destruction,destruction
machines à sous,slots
de plus en plus,increasingly
migration,migration
désordre,disorder
routine,routine
barre d'outils,toolbar
essentiellement,basically
rochers,rocks
conventionnel,conventional
titans,titans
candidats,applicants
portant,wearing
axe,axis
recherché,sought
gènes,genes
monté,mounted
habitat,habitat
pare-feu,firewall
médian,median
armes à feu,guns
scanner,scanner
ici,herein
professionnel,occupational
Animé,animated
judiciaire,judicial
rio,rio
hs,hs
ajustement,adjustment
héros,hero
entier,integer
traitements,treatments
bachelier,bachelor
attitude,attitude
caméscopes,camcorders
engagé,engaged
chute,falling
base,basics
montréalais,montreal
tapis,carpet
rv,rv
structurer,struct
lentilles,lenses
binaire,binary
la génétique,genetics
assisté à,attended
difficulté,difficulty
punk,punk
collectif,collective
coalition,coalition
pi,pi
chuté,dropped
inscription,enrollment
Duc,duke
walter,walter
ai,ai
rythme,pace
outre,besides
salaire,wage
producteurs,producers
tangne,ot
collectionneur,collector
arc,arc
hôtes,hosts
interfaces,interfaces
annonceurs,advertisers
des moments,moments
atlas,atlas
cordes,strings
Aube,dawn
représentant,representing
observation,observation
se sent,feels
torture,torture
carl,carl
supprimé,deleted
manteau,coat
mitchell,mitchell
Mme,mrs
rica,rica
restauration,restoration
commodité,convenience
rentrant,returning
ralph,ralph
opposition,opposition
récipient,container
yr,yr
défendeur,defendant
warner,warner
confirmation,confirmation
app,app
embarqué,embedded
jet d'encre,inkjet
superviseur,supervisor
sorcier,wizard
corps,corps
acteurs,actors
le foie,liver
périphériques,peripherals
responsable,liable
brochure,brochure
morré,morris
best-sellers,bestsellers
pétition,petition
eminem,eminem
rappeler,recall
antenne,antenna
choisi,picked
assumé,assumed
Départ,departure
minneapolis,minneapolis
croyance,belief
meurtre,killing
bikini,bikini
memphis,memphis
épaule,shoulder
décor,decor
chercher,lookup
les textes,texts
Harvard,harvard
courtiers,brokers
royal,roy
ion,ion
diamètre,diameter
Ottawa,ottawa
poupée,doll
ic,ic
Podcast,podcast
saisons,seasons
Pérou,peru
interactions,interactions
affiner,refine
soumissionnaire,bidder
chanteur,singer
Evans,evans
héraut,herald
l'alphabétisation,literacy
échoue,fails
vieillissement,aging
nike,nike
intervention,intervention
nourris,fed
brancher,plugin
attraction,attraction
plongée,diving
inviter,invite
modification,modification
alice,alice
latinas,latinas
supposer,suppose
personnalisé,customized
roseau,reed
impliquer,involve
modérer,moderate
la terreur,terror
plus jeune,younger
trente,thirty
souris,mice
contraire,opposite
entendu,understood
rapidement,rapidly
Time dual,dealtime
interdire,ban
tôle,temp
intro,intro
Mercedes,mercedes
zus,zus
assurance,assurance
employé de bureau,clerk
événement,happening
vaste,vast
moulins,mills
contour,outline
amendements,amendments
tramadol,tramadol
Hollande,holland
recettes,receives
jeans,jeans
métropolitain,metropolitan
compilation,compilation
vérification,verification
polices,fonts
enterré,ent
impair,odd
envelopper,wrap
se réfère,refers
humeur,mood
favoriser,favor
anciens combattants,veterans
quiz,quiz
mx,mx
sigma,sigma
gras,gr
attractif,attractive
xhtml,xhtml
occasion,occasion
enregistrement,recordings
Jefferson,jefferson
victime,victim
demandes,demands
en train de dormir,sleeping
prudent,careful
ext,ext
rayonner,beam
jardinage,gardening
obligations,obligations
arrivée,arrive
orchestre,orchestra
le coucher du soleil,sunset
suivi,tracked
de plus,moreover
minimal,minimal
polyphonique,polyphonic
loterie,lottery
hauts,tops
encadré,framed
de côté,aside
externalisation,outsourcing
Licence,licence
Ajustable,adjustable
allocation,allocation
michelle,michelle
essai,essay
la discipline,discipline
amy,amy
TS,ts
démontré,demonstrated
dialogue,dialogue
identifier,identifying
alphabétique,alphabetical
camps,camps
déclaré,declared
expédié,dispatched
Aaron,aaron
de poche,handheld
trace,trace
disposition,disposal
fermer,shut
fleuristes,florists
emballage,packs
ge,ge
installation,installing
commutateur,switches
Roumanie,romania
volontaire,voluntary
NCAA,ncaa
tu,thou
consulter,consult
doctorat,phd
très,greatly
blogging,blogging
masque,mask
cyclisme,cycling
minuit,midnight
ng,ng
communément,commonly
PE,pe
photographe,photographer
informer,inform
turc,turkish
charbon,coal
cri,cry
Messagerie,messaging
pentium,pentium
quantum,quantum
murray,murray
intention,intent
tt,tt
zoo,zoo
en grande partie,largely
agréable,pleasant
annoncer,announce
construit,constructed
addition,additions
nécessitant,requiring
parlait,spoke
alias,aka
La Flèche,arrow
engagement,engagement
échantillonnage,sampling
rugueux,rough
bizarre,weird
tee,tee
refinancer,refinance
Lion,lion
inspiré,inspired
des trous,holes
mariages,weddings
lame,blade
soudainement,suddenly
oxygène,oxygen
biscuit,cookie
repas,meals
canyon,canyon
aller à,goto
mètres,meters
seulement,merely
calendriers,calendars
arrangement,arrangement
conclusions,conclusions
passes,passes
bibliographie,bibliography
aiguille,pointer
compatibilité,compatibility
s'étirer,stretch
durham,durham
en outre,furthermore
autorisation,permits
coopérative,cooperative
musulman,muslim
xl,xl
neil,neil
manche,sleeve
Netscape,netscape
nettoyeur,cleaner
criquet,cricket
du bœuf,beef
alimentation,feeding
accident vasculaire cérébral,stroke
canton,township
classement,rankings
mesure,measuring
goujat,cad
Chapeaux,hats
robin,robin
robinson,robinson
jacksonville,jacksonville
sangle,strap
quartier général,headquarters
sharon,sharon
foule,crowd
TCP,tcp
transfert,transfers
le surf,surf
olympique,olympic
transformation,transformation
resté,remained
accessoires,attachments
dv,dv
Dir,dir
entités,entities
douane,customs
administrateur,administrators
personnalité,personality
arc-en-ciel,rainbow
accrocher,hook
roulette,roulette
déclin,decline
des gants,gloves
israélien,israeli
Medicare,medicare
corde,cord
ski,skiing
nuage,cloud
faciliter,facilitate
abonné,subscriber
soupape,valve
valourdine,val
hewlett,hewlett
expliquer,explains
procéder,proceed
flickr,flickr
sentiments,feelings
couteau,knife
Jamaïque,jamaica
priorités,priorities
étagère,shelf
librairie,bookstore
Horaire,timing
aimé,liked
parentalité,parenting
adopter,adopt
refusé,denied
fotos,fotos
incroyable,incredible
Britney,britney
logiciel libre,freeware
don,donation
extérieur,outer
recadrer,crop
des morts,deaths
rivières,rivers
Commonwealth,commonwealth
pharmaceutique,pharmaceutical
Manhattan,manhattan
contes,tales
katrina,katrina
la main d'oeuvre,workforce
Islam,islam
nœuds,nodes
toupette,tu
fy,fy
pouce,thumbs
des graines,seeds
cité,cited
léger,lite
GHz,ghz
moyeu,hub
ciblé,targeted
organisationnel,organizational
skype,skype
réalisé,realized
Douze,twelve
fondateur,founder
décennie,decade
gamecube,gamecube
rr,rr
contestation,dispute
Portugais,portuguese
fatigué,tired
trompé,titten
négatif,adverse
partout,everywhere
extrait,excerpt
fra,eng
fumer,steam
décharge,discharge
ef,ef
boisson,drinks
as,ace
voix,voices
aigu,acute
Halloween,halloween
escalade,climbing
se tenant,stood
chanter,sing
tonnes,tons
parfum,perfume
carol,carol
honnête,honest
albany,albany
hasardeux,hazardous
restaurer,restore
empiler,stack
méthodologie,methodology
quelqu'un,somebody
poursuivre en justice,sue
texte,ep
