English,French
molecular,moléculaire
acting,agissant
heads,têtes
stored,stocké
exam,examen
logos,logos
residence,résidence
attorneys,Avocats
antiques,antiquités
density,densité
hundred,cent
ryan,ryan
operators,les opérateurs
strange,étrange
sustainable,durable
philippines,philippines
statistical,statistique
beds,des lits
mention,mention
innovation,innovation
pcs,pcs
employers,employeurs
grey,gris
parallel,parallèle
honda,honda
amended,modifié
operate,fonctionner
bills,factures
bold,gras
bathroom,salle de bains
stable,stable
opera,opéra
definitions,définitions
von,von
doctors,médecins
lesson,cours
cinema,cinéma
asset,actif
ag,agile
scan,analyse
elections,élections
drinking,en buvant
reaction,réaction
blank,Vide
enhanced,amélioré
entitled,intitulé
severe,sévère
generate,produire
stainless,inoxydable
newspapers,journaux
hospitals,hôpitaux
vi,vi
deluxe,de luxe
humor,humour
aged,vieilli
monitors,moniteurs
exception,exception
lived,vivait
duration,durée
bulk,masse
successfully,avec succès
indonesia,Indonésie
pursuant,en vertu de
sci,Sci
fabric,en tissu
edt,EDT
visits,visites
primarily,principalement
tight,serré
domains,domaines
capabilities,capacités
pmid,pem
contrast,contraste
recommendation,recommandation
flying,en volant
recruitment,recrutement
sin,péché
berlin,Berlin
cute,mignonne
organized,organisé
ba,Ba
para,para
siemens,Siemens
adoption,adoption
improving,amélioration
cr,Cr
expensive,cher
meant,censé
capture,Capturer
pounds,livres sterling
buffalo,buffle
organisations,organisations
plane,avion
pg,pg
explained,expliqué
seed,la graine
programmes,programmes
desire,désir
expertise,compétence
mechanism,mécanisme
camping,camping
ee,ee
jewellery,bijoux
meets,se rencontre
welfare,bien-être
peer,pair
caught,attrapé
eventually,finalement
marked,marqué
driven,conduit
measured,mesuré
medline,mec
bottle,bouteille
agreements,les accords
considering,considérant
innovative,innovant
marshall,marshall
massage,massage
rubber,caoutchouc
conclusion,conclusion
closing,fermeture
tampa,tampa
thousand,mille
meat,Viande
legend,Légende
grace,la grâce
susan,Susan
ing,ing
ks,ks
adams,adams
python,python
monster,monstre
alex,alex
bang,claquer
villa,villa
bone,OS
columns,Colonnes
disorders,troubles
bugs,Bugs
collaboration,collaboration
hamilton,hamilton
detection,détection
ftp,ftp
cookies,biscuits
inner,intérieur
formation,formation
tutorial,Didacticiel
med,mec
engineers,ingénieurs
entity,entité
cruises,Croisières
gate,portail
holder,titulaire
proposals,les propositions
moderator,modérateur
sw,SW
tutorials,tutoriels
settlement,règlement
portugal,le Portugal
lawrence,lawrence
roman,romain
duties,fonctions
valuable,de valeur
tone,Ton
collectables,collectionnures
ethics,éthique
forever,pour toujours
dragon,dragon
busy,occupé
captain,capitaine
fantastic,fantastique
imagine,imaginer
brings,apporte
heating,chauffage
leg,jambe
neck,cou
hd,HD
wing,aile
governments,Gouvernements
purchasing,achat
scripts,scripts
abc,abc
stereo,stéréo
appointed,nommé
taste,goût
dealing,transaction
commit,s'engager
tiny,minuscule
operational,opérationnel
rail,rail
airlines,compagnies aériennes
liberal,libéral
livecam,livecam
jay,geai
trips,voyages
gap,écart
sides,côtés
tube,tube
turns,se tourne
corresponding,correspondant
descriptions,descriptions
cache,cache
belt,ceinture
jacket,veste
determination,détermination
animation,animation
oracle,oracle
er,er
matthew,Matthieu
lease,bail
productions,productions
aviation,aviation
hobbies,passe-temps
proud,fier
excess,excès
disaster,catastrophe
console,console
commands,commandes
jr,jr
telecommunications,télécommunications
instructor,instructeur
giant,géant
achieved,obtenu
injuries,blessures
shipped,Expédié
seats,des places
approaches,approches
biz,bizarre
alarm,alarme
voltage,Tension
anthony,anthony
nintendo,Nintendo
usual,habituel
loading,Chargement en cours
stamps,timbres
appeared,apparu
franklin,franc
angle,angle
rob,Rob
vinyl,vinyle
highlights,points forts
mining,exploitation minière
designers,designers
melbourne,melbourne
ongoing,en cours
worst,pire
imaging,imagerie
betting,pari
scientists,scientifiques
liberty,liberté
wyoming,Wyoming
blackjack,blackjack
argentina,Argentine
era,ère
convert,convertir
possibility,possibilité
analyst,analyste
commissioner,le commissaire
dangerous,dangereux
garage,garage
exciting,passionnant
reliability,fiabilité
thongs,strings
gcc,gcc
unfortunately,Malheureusement
respectively,respectivement
volunteers,bénévoles
attachment,attachement
ringtone,sonnerie
finland,Finlande
morgan,Morgan
derived,dérivé
pleasure,plaisir
honor,honneur
asp,aspic
oriented,orienté
eagle,Aigle
desktops,ordinateurs de bureau
pants,les pantalons
columbus,Colomb
nurse,infirmière
prayer,prière
appointment,rendez-vous
workshops,ateliers
hurricane,ouragan
quiet,calmer
luck,chance
postage,affranchissement
producer,producteur
represented,représentée
mortgages,hypothèques
dial,cadran
responsibilities,responsabilités
cheese,du fromage
comic,bande dessinée
carefully,avec attention
jet,jet
productivity,productivité
investors,investisseurs
crown,couronner
par,par
underground,sous la terre
diagnosis,diagnostic
maker,fabricant
crack,fissure
principle,principe
picks,choix
vacations,les vacances
gang,gang
semester,semestre
calculated,calculé
fetish,fétiche
applies,s'applique
casinos,casinos
appearance,apparence
smoke,fumée
apache,apache
filters,filtres
incorporated,incorporé
nv,nv
craft,artisanat
cake,gâteau
notebooks,des cahiers
apart,une part
fellow,compagnon
blind,aveugle
lounge,salon
mad,fou
algorithm,algorithme
semi,semi
coins,pièces de monnaie
andy,Andy
gross,brut
strongly,fortement
cafe,café
valentine,Valentin
hilton,hilton
ken,ken
proteins,protéines
horror,horreur
su,sucrer
exp,exp
familiar,familier
capable,capable
douglas,Douglas
debian,debian
till,jusqu'à
involving,impliquant
pen,stylo
investing,investissement
christopher,Christopher
admission,admission
epson,Epson
shoe,chaussure
elected,élu
carrying,portant
victory,la victoire
sand,sable
madison,Madison
terrorism,terrorisme
joy,joie
editions,éditions
cpu,CPU
mainly,surtout
ethnic,ethnique
ran,faire courir
parliament,parlement
actor,acteur
finds,découvre
seal,joint
situations,situations
fifth,cinquième
allocated,alloué
citizen,citoyen
vertical,verticale
corrections,correction
structural,de construction
municipal,municipal
describes,décrit
prize,prix
sr,sr
occurs,se produit
jon,jon
absolute,absolu
disabilities,handicapées
consists,consiste
anytime,à toute heure
substance,substance
prohibited,interdit
addressed,adressé
lies,mensonges
pipe,tuyau
soldiers,soldats
nr,nr
guardian,Gardien
lecture,conférence
simulation,simulation
layout,disposition
initiatives,initiatives
ill,malade
concentration,concentration
classics,classique
lbs,Kg
lay,allonger
interpretation,interprétation
horses,les chevaux
lol,MDR
dirty,sale
deck,plate-forme
wayne,cheminée
donate,faire un don
taught,a enseigné
bankruptcy,la faillite
mp,député
worker,ouvrier
optimization,optimisation
alive,vivant
temple,temple
substances,substances
prove,prouver
discovered,découvert
wings,ailes
breaks,rupture
genetic,génétique
restrictions,restrictions
participating,participant
waters,eaux
promise,promesse
thin,mince
exhibition,exposition
prefer,préférer
ridge,crête
cabinet,cabinet
modem,modem
harris,harris
mph,mph
bringing,apportant
sick,malade
dose,dose
evaluate,évaluer
tiffany,tiffany
tropical,tropical
collect,collecter
bet,pari
composition,composition
toyota,Toyota
streets,des rues
nationwide,à l'échelle nationale
vector,vecteur
definitely,absolument
shaved,rasé
turning,tournant
buffer,amortir
purple,violet
existence,existence
commentary,commentaire
larry,larry
limousines,limousines
developments,développements
def,defer
immigration,immigration
destinations,destinations
lets,laisse
mutual,mutuel
pipeline,pipeline
necessarily,nécessairement
syntax,syntaxe
li,li
attribute,attribut
prison,prison
skill,compétence
chairs,chaises
nl,NL
everyday,tous les jours
apparently,Apparemment
surrounding,alentours
mountains,montagnes
moves,se déplace
popularity,popularité
inquiry,demande
ethernet,Ethernet
checked,vérifié
exhibit,exposition
throw,lancer
trend,tendance
sierra,sierra
visible,visible
cats,chats
desert,désert
postposted,postposted
ya,ya
oldest,aîné
rhode,rhode
nba,nba
coordinator,coordinateur
obviously,évidemment
mercury,Mercure
steven,steven
handbook,manuel
greg,greg
navigate,naviguer
worse,pire
summit,sommet
victims,victimes
epa,EPA
spaces,les espaces
fundamental,fondamental
burning,brûlant
escape,échapper
coupons,coupons
somewhat,quelque peu
receiver,destinataire
substantial,substantiel
tr,t
progressive,progressive
cialis,cialis
bb,bb
boats,bateaux
glance,coup d'œil
scottish,Écossais
championship,championnat
arcade,arcade
richmond,richmond
sacramento,sacramento
impossible,impossible
ron,ron
russell,russell
tells,révéler
obvious,évident
fiber,fibre
depression,dépression
graph,graphique
covering,couvrant
platinum,platine
judgment,jugement
bedrooms,chambres
talks,pourparlers
filing,dépôt
foster,favoriser
modeling,la modélisation
passing,qui passe
awarded,récompensé
testimonials,témoignages
trials,essais
tissue,tissu
nz,nz
memorabilia,souvenir des souvenirs
clinton,clinton
masters,maîtrise
bonds,obligations
cartridge,cartouche
alberta,Alberta
explanation,explication
folk,populaire
org,org
commons,Chambre des communes
cincinnati,cincinnati
subsection,sous-section
fraud,fraude
electricity,électricité
permitted,permis
spectrum,spectre
arrival,arrivée
okay,d'accord
pottery,poterie
emphasis,accent
roger,roger
aspect,aspect
workplace,lieu de travail
awesome,impressionnant
mexican,mexicain
confirmed,confirmé
counts,comptes
priced,cher
wallpapers,papiers peints
hist,hist
crash,crash
lift,ascenseur
desired,voulu
inter,Inter
closer,plus proche
assumes,suppose
heights,hauteurs
shadow,ombre
riding,équitation
infection,infection
firefox,firefox
lisa,lisa
expense,frais
grove,bosquet
eligibility,admissibilité
venture,entreprise
clinic,clinique
korean,coréen
healing,guérison
princess,Princesse
mall,galerie marchande
entering,entrant
packet,paquet
spray,vaporisateur
studios,studios
involvement,participation
dad,père
buttons,boutons
placement,placement
observations,observations
vbulletin,vrulletin
funded,financé
thompson,thompson
winners,gagnants
extend,se déployer
roads,routes
subsequent,subséquent
pat,tapoter
dublin,dublin
rolling,roulant
fell,est tombée
motorcycle,moto
yard,Cour
disclosure,divulgation
establishment,établissement
memories,souvenirs
nelson,nelson
te,te
arrived,arrivée
creates,crée
faces,visages
tourist,touristique
av,un V
mayor,maire
murder,meurtre
sean,Sean
adequate,adéquat
senator,sénateur
yield,rendement
presentations,présentations
grades,grades
cartoons,les dessins animés
pour,verser
digest,digérer
reg,régler
lodging,hébergement
tion,faire
dust,poussière
hence,Par conséquent
wiki,wiki
entirely,entièrement
replaced,remplacé
radar,radar
rescue,porter secours
undergraduate,premier cycle
losses,pertes
combat,combat
reducing,réduire
stopped,arrêté
occupation,Occupation
lakes,des lacs
donations,des dons
associations,les associations
citysearch,citysearch
closely,étroitement
radiation,radiation
diary,journal intime
seriously,sérieusement
kings,rois
shooting,tournage
kent,kent
adds,ajoute
nsw,NSW
ear,oreille
flags,Drapeaux
pci,pci
baker,boulanger
launched,lancé
elsewhere,autre part
pollution,la pollution
conservative,conservateur
guestbook,livre d'or
shock,choc
effectiveness,efficacité
walls,des murs
abroad,à l'étranger
ebony,ébène
tie,attacher
ward,salle
drawn,dessiné
arthur,arthur
ian,ian
visited,a visité
roof,toit
walker,marcheur
demonstrate,démontrer
atmosphere,atmosphère
suggests,suggère
kiss,embrasser
beast,bête
ra,rad
operated,exploité
experiment,expérience
targets,cibles
overseas,à l'étranger
purchases,achats
dodge,Esquive
counsel,Conseil
federation,fédération
pizza,Pizza
invited,invité
yards,mètres
assignment,mission
chemicals,produits chimiques
gordon,Gordon
mod,modeler
farmers,Les agriculteurs
rc,rc
queries,interrogation
bmw,BMW
rush,se ruer
ukraine,Ukraine
absence,absence
nearest,la plus proche
cluster,grappe
vendors,vendeurs
mpeg,MPEG
whereas,tandis que
yoga,yoga
serves,serre
woods,les bois
surprise,surprendre
lamp,lampe
rico,rico
partial,partiel
shoppers,acheteur
phil,philos
everybody,Tout le monde
couples,des couples
nashville,Nashville
ranking,classement
jokes,blagues
cst,CST
http,http
ceo,PDG
simpson,simpson
twiki,Twiki
sublime,sublime
counseling,conseils
palace,palais
acceptable,acceptable
satisfied,satisfait
glad,content de
wins,gagne
measurements,des mesures
verify,Vérifier
globe,globe
trusted,de confiance
copper,le cuivre
milwaukee,milwaukee
rack,étagère
medication,des médicaments
warehouse,dépot
shareware,shareware
ec,CE
rep,représentant
dicke,dicke
kerry,kerry
receipt,reçu
supposed,supposé
ordinary,ordinaire
nobody,personne
ghost,fantôme
violation,violation
configure,configurer
stability,stabilité
mit,mitoyer
applying,appliquer
southwest,sud-ouest
boss,chef
pride,Orgueil
institutional,institutionnel
expectations,attentes
independence,indépendance
knowing,connaissance
reporter,journaliste
metabolism,métabolisme
keith,keith
champion,champion
cloudy,nuageux
linda,linda
ross,rossage
personally,personnellement
chile,Chili
anna,anna
plenty,beaucoup
solo,solo
sentence,phrase
throat,gorge
ignore,ignorer
maria,maria
uniform,uniforme
excellence,excellence
wealth,richesse
tall,haut
rm,rm
somewhere,quelque part
vacuum,vide
dancing,dansant
attributes,les attributs
recognize,reconnaître
brass,laiton
writes,écrit
plaza,place
pdas,pdas
outcomes,résultats
survival,survie
quest,quête
publish,publier
sri,sri
screening,dépistage
toe,doigt de pied
thumbnail,la vignette
trans,trans
jonathan,jonathan
whenever,n'importe quand
nova,nova
lifetime,durée de vie
api,API
pioneer,pionnier
booty,butin
forgotten,oublié
acrobat,acrobate
plates,plaques
acres,acres
venue,lieu
athletic,sportif
thermal,thermique
essays,essais
behaviour,comportement
vital,vital
telling,récit
fairly,équitablement
coastal,côtier
config,configuration
cf,cf
charity,charité
intelligent,intelligente
edinburgh,Edinbourg
vt,Vermont
excel,exceller
modes,modes
obligation,obligation
campbell,campbell
wake,se réveiller
stupid,stupide
harbor,port
hungary,Hongrie
traveler,voyageur
urw,urw
segment,segment
realize,prendre conscience de
regardless,indépendamment
lan,lan
enemy,ennemi
puzzle,puzzle
rising,en hausse
aluminum,aluminium
wells,puits
wishlist,wishlist
opens,s'ouvre
insight,aperçu
sms,SMS
restricted,limité
republican,républicain
secrets,secrets
lucky,chanceux
latter,dernier
merchants,marchands
thick,épais
trailers,bandes annonces
repeat,répéter
syndrome,syndrome
philips,Philips
attendance,présence
penalty,peine
drum,tambouriner
glasses,lunettes
enables,active
nec,nec
iraqi,irakien
builder,constructeur
vista,vue
jessica,Jessica
chips,frites
terry,épineux
flood,inondation
foto,foto
ease,faciliter
arguments,arguments
amsterdam,amsterdam
arena,arène
adventures,aventures
pupils,élèves
stewart,Stewart
announcement,annonce
tabs,onglets
outcome,résultat
appreciate,apprécier
expanded,étendu
casual,décontractée
grown,cultivé
polish,polonais
lovely,beau
extras,Suppléments
gm,gm
centres,centres
jerry,joyeux
clause,clause
smile,le sourire
lands,terres
ri,ri
troops,troupes
indoor,intérieur
bulgaria,Bulgarie
armed,armé
broker,courtier
charger,chargeur
regularly,régulièrement
believed,a cru
pine,pin
cooling,refroidissement
tend,tendre
gulf,golfe
rt,rt
rick,meule
trucks,camion
cp,cp
mechanisms,mécanismes
divorce,divorce
laura,Laura
shopper,client
tokyo,tokyo
partly,partiellement
nikon,nikon
customize,Personnaliser
tradition,tradition
candy,Des bonbons
pills,pilules
tiger,tigre
donald,donald
folks,gens
sensor,capteur
exposed,exposé
telecom,télécommunication
hunt,chasser
angels,anges
deputy,adjoint
indicators,indicateurs
sealed,scellé
thai,thaïlandais
emissions,émission
physicians,médecins
loaded,chargé
fred,fred
complaint,plainte
scenes,scènes
experiments,expériences
afghanistan,Afghanistan
dd,dd
boost,renforcer
spanking,fessée
scholarship,Bourse d'études
governance,gouvernance
mill,moulin
founded,fondé
supplements,suppléments
chronic,chronique
icons,Icônes
moral,moral
den,tanière
catering,restauration
aud,aud
finger,doigt
keeps,garde
pound,broyer
locate,Localiser
camcorder,caméscope
pl,PL
trained,qualifié
burn,brûler
implementing,exécution
roses,des roses
labs,laboratoires
ourselves,nous-mêmes
bread,pain
tobacco,le tabac
wooden,en bois
motors,moteurs
tough,dure
roberts,roberts
incident,incident
gonna,va
dynamics,dynamique
lie,mentir
crm,crm
rf,rf
conversation,conversation
decrease,diminuer
chest,coffre
pension,Pension
billy,gamelle
revenues,revenus
emerging,émergent
worship,vénération
capability,aptitude
ak,ak
fe,Fe
craig,crainder
herself,se
producing,produit
churches,des églises
precision,précision
damages,dégâts
reserves,réserves
contributed,contribué
solve,résoudre
shorts,shorts
reproduction,la reproduction
minority,minorité
td,TD
diverse,diverse
amp,ampère
ingredients,Ingrédients
sb,sb
ah,ah
johnny,Johnny
sole,Unique
franchise,la franchise
recorder,enregistreur
complaints,plainte
facing,orienté vers
sm,sm
nancy,nancy
promotions,promotions
tones,tons
passion,la passion
rehabilitation,réhabilitation
maintaining,maintien
sight,vue
laid,posé
clay,argile
defence,la défense
patches,patchs
weak,faible
refund,remboursement
usc,usc
towns,les villes
environments,environnements
trembl,trémorale
divided,divisé
blvd,blv
reception,accueil
amd,amd
wise,sage
emails,courriels
cyprus,Chypre
wv,wv
odds,chances
correctly,correctement
insider,insister
seminars,séminaires
consequences,conséquences
makers,décideur
hearts,cœurs
geography,géographie
appearing,apparaissant
integrity,intégrité
worry,s'inquiéter
ns,ns
discrimination,discrimination
eve,veille
carter,charretier
legacy,héritage
marc,marc
pleased,heureux
danger,danger
vitamin,vitamine
widely,largement
processed,traité
phrase,phrase
genuine,authentique
raising,élevage
implications,implications
functionality,Fonctionnalité
paradise,paradis
hybrid,hybride
reads,lit
roles,les rôles
intermediate,intermédiaire
emotional,émotif
sons,fils
leaf,feuille
pad,tampon
glory,gloire
platforms,plateformes
ja,ja
bigger,plus gros
billing,facturation
diesel,diesel
versus,contre
combine,combiner
overnight,pendant la nuit
geographic,géographique
exceed,dépasser
bs,bs
rod,tige
saudi,saoudien
fault,la faute
cuba,Cuba
hrs,HRS
preliminary,préliminaire
districts,les quartiers
introduce,présenter
silk,soie
promotional,promotionnel
kate,kate
chevrolet,chevrolet
babies,bébés
bi,bi
karen,karen
compiled,compilé
romantic,romantique
revealed,révélé
specialists,spécialistes
generator,Générateur
albert,albert
examine,examiner
jimmy,Jimmy
graham,graham
suspension,suspension
bristol,bristol
margaret,Margaret
compaq,compaq
sad,triste
correction,correction
wolf,Loup
slowly,lentement
authentication,authentification
communicate,communiquer
rugby,le rugby
supplement,supplément
showtimes,shentimes
cal,cal
portions,portions
infant,bébé
promoting,promouvoir
sectors,secteurs
samuel,samuel
fluid,fluide
grounds,terrains
fits,conversation
kick,coup
regards,Cordialement
meal,repas
ta,ta
hurt,blesser
machinery,machinerie
bandwidth,bande passante
unlike,contrairement à
equation,équation
baskets,paniers
probability,probabilité
pot,pot
dimension,dimension
wright,hurler
img,img
barry,barry
proven,éprouvé
schedules,des horaires
admissions,admission
cached,mis en cache
warren,garenne
slip,glisser
studied,étudié
reviewer,critique
involves,implique
quarterly,trimestriel
rpm,rpm
profits,bénéfices
devil,diable
grass,herbe
comply,se conformer
marie,Marie
florist,fleuriste
illustrated,illustré
cherry,cerise
continental,continental
alternate,alterner
deutsch,deutsch
achievement,réussite
limitations,limites
kenya,Kenya
webcam,webcam
cuts,coupure
funeral,funérailles
nutten,nutten
earrings,des boucles d'oreilles
enjoyed,apprécié
automated,automatique
chapters,chapitres
pee,pipi
charlie,charlie
quebec,Québec
passenger,passager
convenient,pratique
dennis,dennis
mars,Mars
francis,Francis
tvs,téléviseur
sized,de taille
manga,manga
noticed,remarqué
socket,prise
silent,silencieux
literary,littéraire
egg,Oeuf
mhz,MHz
signals,signaux
caps,casquettes
orientation,orientation
pill,pilule
theft,vol
childhood,enfance
swing,balançoire
symbols,symboles
lat,lat
meta,méta
humans,humains
analog,analogique
facial,facial
choosing,choix
talent,Talent
dated,daté
flexibility,la flexibilité
seeker,chercheur
wisdom,sagesse
shoot,tirer
boundary,frontière
mint,menthe
packard,packard
offset,décalage
payday,paie
philip,Philippe
elite,élite
gi,gi
spin,tournoyer
holders,titulaires
believes,croit que
swedish,suédois
poems,poèmes
deadline,date limite
jurisdiction,juridiction
robot,robot
displaying,affichage
witness,témoin
collins,collins
equipped,équipé
stages,étapes
encouraged,encouragé
sur,sur
winds,les vents
powder,poudre
broadway,larbu
acquired,acquis
assess,évaluer
wash,lavage
cartridges,cartouches
stones,des pierres
entrance,entrée
gnome,gnome
roots,racines
declaration,déclaration
losing,perdant
attempts,tentatives
gadgets,gadgets
noble,noble
glasgow,glasgow
automation,automatisation
impacts,impacts
rev,tour
gospel,gospel
advantages,avantages
shore,rive
loves,amours
induced,induit
ll,ll
knight,Chevalier
preparing,en train de préparer
loose,lâche
aims,but
recipient,destinataire
linking,mise en relation
extensions,extensions
appeals,appel
cl,clocher
earned,gagné
illness,maladie
islamic,islamique
athletics,athlétisme
southeast,sud-est
ieee,ieee
ho,ho
alternatives,alternatives
pending,en attendant
parker,parker
determining,déterminant
lebanon,Liban
corp,corpes
personalized,personnalisé
kennedy,kennedy
gt,gt
sh,SH
conditioning,conditionnement
teenage,adolescent
soap,du savon
ae,ae
triple,tripler
cooper,tonnelier
nyc,nycé
vincent,vexent
jam,Confiture
secured,sécurisé
unusual,inhabituel
answered,répondu
partnerships,partenariats
destruction,destruction
slots,machines à sous
increasingly,de plus en plus
migration,migration
disorder,désordre
routine,routine
toolbar,barre d'outils
basically,essentiellement
rocks,rochers
conventional,conventionnel
titans,titans
applicants,candidats
wearing,portant
axis,axe
sought,recherché
genes,gènes
mounted,monté
habitat,habitat
firewall,pare-feu
median,médian
guns,armes à feu
scanner,scanner
herein,ici
occupational,professionnel
animated,Animé
judicial,judiciaire
rio,rio
hs,hs
adjustment,ajustement
hero,héros
integer,entier
treatments,traitements
bachelor,bachelier
attitude,attitude
camcorders,caméscopes
engaged,engagé
falling,chute
basics,base
montreal,montréalais
carpet,tapis
rv,rv
struct,structurer
lenses,lentilles
binary,binaire
genetics,la génétique
attended,assisté à
difficulty,difficulté
punk,punk
collective,collectif
coalition,coalition
pi,pi
dropped,chuté
enrollment,inscription
duke,Duc
walter,walter
ai,ai
pace,rythme
besides,outre
wage,salaire
producers,producteurs
ot,tangne
collector,collectionneur
arc,arc
hosts,hôtes
interfaces,interfaces
advertisers,annonceurs
moments,des moments
atlas,atlas
strings,cordes
dawn,Aube
representing,représentant
observation,observation
feels,se sent
torture,torture
carl,carl
deleted,supprimé
coat,manteau
mitchell,mitchell
mrs,Mme
rica,rica
restoration,restauration
convenience,commodité
returning,rentrant
ralph,ralph
opposition,opposition
container,récipient
yr,yr
defendant,défendeur
warner,warner
confirmation,confirmation
app,app
embedded,embarqué
inkjet,jet d'encre
supervisor,superviseur
wizard,sorcier
corps,corps
actors,acteurs
liver,le foie
peripherals,périphériques
liable,responsable
brochure,brochure
morris,morré
bestsellers,best-sellers
petition,pétition
eminem,eminem
recall,rappeler
antenna,antenne
picked,choisi
assumed,assumé
departure,Départ
minneapolis,minneapolis
belief,croyance
killing,meurtre
bikini,bikini
memphis,memphis
shoulder,épaule
decor,décor
lookup,chercher
texts,les textes
harvard,Harvard
brokers,courtiers
roy,royal
ion,ion
diameter,diamètre
ottawa,Ottawa
doll,poupée
ic,ic
podcast,Podcast
seasons,saisons
peru,Pérou
interactions,interactions
refine,affiner
bidder,soumissionnaire
singer,chanteur
evans,Evans
herald,héraut
literacy,l'alphabétisation
fails,échoue
aging,vieillissement
nike,nike
intervention,intervention
fed,nourris
plugin,brancher
attraction,attraction
diving,plongée
invite,inviter
modification,modification
alice,alice
latinas,latinas
suppose,supposer
customized,personnalisé
reed,roseau
involve,impliquer
moderate,modérer
terror,la terreur
younger,plus jeune
thirty,trente
mice,souris
opposite,contraire
understood,entendu
rapidly,rapidement
dealtime,Time dual
ban,interdire
temp,tôle
intro,intro
mercedes,Mercedes
zus,zus
assurance,assurance
clerk,employé de bureau
happening,événement
vast,vaste
mills,moulins
outline,contour
amendments,amendements
tramadol,tramadol
holland,Hollande
receives,recettes
jeans,jeans
metropolitan,métropolitain
compilation,compilation
verification,vérification
fonts,polices
ent,enterré
odd,impair
wrap,envelopper
refers,se réfère
mood,humeur
favor,favoriser
veterans,anciens combattants
quiz,quiz
mx,mx
sigma,sigma
gr,gras
attractive,attractif
xhtml,xhtml
occasion,occasion
recordings,enregistrement
jefferson,Jefferson
victim,victime
demands,demandes
sleeping,en train de dormir
careful,prudent
ext,ext
beam,rayonner
gardening,jardinage
obligations,obligations
arrive,arrivée
orchestra,orchestre
sunset,le coucher du soleil
tracked,suivi
moreover,de plus
minimal,minimal
polyphonic,polyphonique
lottery,loterie
tops,hauts
framed,encadré
aside,de côté
outsourcing,externalisation
licence,Licence
adjustable,Ajustable
allocation,allocation
michelle,michelle
essay,essai
discipline,la discipline
amy,amy
ts,TS
demonstrated,démontré
dialogue,dialogue
identifying,identifier
alphabetical,alphabétique
camps,camps
declared,déclaré
dispatched,expédié
aaron,Aaron
handheld,de poche
trace,trace
disposal,disposition
shut,fermer
florists,fleuristes
packs,emballage
ge,ge
installing,installation
switches,commutateur
romania,Roumanie
voluntary,volontaire
ncaa,NCAA
thou,tu
consult,consulter
phd,doctorat
greatly,très
blogging,blogging
mask,masque
cycling,cyclisme
midnight,minuit
ng,ng
commonly,communément
pe,PE
photographer,photographe
inform,informer
turkish,turc
coal,charbon
cry,cri
messaging,Messagerie
pentium,pentium
quantum,quantum
murray,murray
intent,intention
tt,tt
zoo,zoo
largely,en grande partie
pleasant,agréable
announce,annoncer
constructed,construit
additions,addition
requiring,nécessitant
spoke,parlait
aka,alias
arrow,La Flèche
engagement,engagement
sampling,échantillonnage
rough,rugueux
weird,bizarre
tee,tee
refinance,refinancer
lion,Lion
inspired,inspiré
holes,des trous
weddings,mariages
blade,lame
suddenly,soudainement
oxygen,oxygène
cookie,biscuit
meals,repas
canyon,canyon
goto,aller à
meters,mètres
merely,seulement
calendars,calendriers
arrangement,arrangement
conclusions,conclusions
passes,passes
bibliography,bibliographie
pointer,aiguille
compatibility,compatibilité
stretch,s'étirer
durham,durham
furthermore,en outre
permits,autorisation
cooperative,coopérative
muslim,musulman
xl,xl
neil,neil
sleeve,manche
netscape,Netscape
cleaner,nettoyeur
cricket,criquet
beef,du bœuf
feeding,alimentation
stroke,accident vasculaire cérébral
township,canton
rankings,classement
measuring,mesure
cad,goujat
hats,Chapeaux
robin,robin
robinson,robinson
jacksonville,jacksonville
strap,sangle
headquarters,quartier général
sharon,sharon
crowd,foule
tcp,TCP
transfers,transfert
surf,le surf
olympic,olympique
transformation,transformation
remained,resté
attachments,accessoires
dv,dv
dir,Dir
entities,entités
customs,douane
administrators,administrateur
personality,personnalité
rainbow,arc-en-ciel
hook,accrocher
roulette,roulette
decline,déclin
gloves,des gants
israeli,israélien
medicare,Medicare
cord,corde
skiing,ski
cloud,nuage
facilitate,faciliter
subscriber,abonné
valve,soupape
val,valourdine
hewlett,hewlett
explains,expliquer
proceed,procéder
flickr,flickr
feelings,sentiments
knife,couteau
jamaica,Jamaïque
priorities,priorités
shelf,étagère
bookstore,librairie
timing,Horaire
liked,aimé
parenting,parentalité
adopt,adopter
denied,refusé
fotos,fotos
incredible,incroyable
britney,Britney
freeware,logiciel libre
donation,don
outer,extérieur
crop,recadrer
deaths,des morts
rivers,rivières
commonwealth,Commonwealth
pharmaceutical,pharmaceutique
manhattan,Manhattan
tales,contes
katrina,katrina
workforce,la main d'oeuvre
islam,Islam
nodes,nœuds
tu,toupette
fy,fy
thumbs,pouce
seeds,des graines
cited,cité
lite,léger
ghz,GHz
hub,moyeu
targeted,ciblé
organizational,organisationnel
skype,skype
realized,réalisé
twelve,Douze
founder,fondateur
decade,décennie
gamecube,gamecube
rr,rr
dispute,contestation
portuguese,Portugais
tired,fatigué
titten,trompé
adverse,négatif
everywhere,partout
excerpt,extrait
eng,fra
steam,fumer
discharge,décharge
ef,ef
drinks,boisson
ace,as
voices,voix
acute,aigu
halloween,Halloween
climbing,escalade
stood,se tenant
sing,chanter
tons,tonnes
perfume,parfum
carol,carol
honest,honnête
albany,albany
hazardous,hasardeux
restore,restaurer
stack,empiler
methodology,méthodologie
somebody,quelqu'un
sue,poursuivre en justice
ep,texte
