French,Spanish
équation,ecuación
paniers,cestas
probabilité,probabilidad
pot,maceta
dimension,dimensión
hurler,wright
img,img
barry,barry
éprouvé,probado
des horaires,horarios
admission,admisiones
mis en cache,en caché
garenne,madriguera
glisser,deslizar
étudié,estudió
critique,crítico
implique,involucra
trimestriel,trimestral
rpm,rpm
bénéfices,ganancias
diable,demonio
herbe,césped
se conformer,cumplir
Marie,marie
fleuriste,florista
illustré,ilustrado
cerise,cereza
continental,continental
alterner,alterno
deutsch,Alemán
réussite,logro
limites,limitaciones
Kenya,Kenia
webcam,cámara web
coupure,cortes
funérailles,funeral
nutten,nutten
des boucles d'oreilles,aretes
apprécié,disfruté
automatique,automatizado
chapitres,capítulos
pipi,pipí
charlie,charlie
Québec,quebec
passager,pasajero
pratique,conveniente
dennis,Dennis
Mars,Marte
Francis,Francisco
téléviseur,TVS
de taille,de tamaño
manga,manga
remarqué,notado
prise,enchufe
silencieux,silencio
littéraire,literario
Oeuf,huevo
MHz,megahercio
signaux,señales
casquettes,tapas
orientation,orientación
pilule,píldora
vol,hurto
enfance,infancia
balançoire,columpio
symboles,símbolos
lat,latino
méta,meta
humains,humanos
analogique,cosa análoga
facial,facial
choix,elección
Talent,talento
daté,con fecha de
la flexibilité,flexibilidad
chercheur,buscador
sagesse,sabiduría
tirer,disparo
frontière,Perímetro
menthe,menta
packard,Packard
décalage,compensar
paie,día de paga
Philippe,philip
élite,élite
gi,soldado americano
tournoyer,girar
titulaires,titulares
croit que,cree
suédois,sueco
poèmes,poemas
date limite,fecha límite
juridiction,jurisdicción
robot,robot
affichage,mostrando
témoin,testigo
collins,collins
équipé,equipado
étapes,etapas
encouragé,alentado
sur,sur
les vents,vientos
poudre,polvo
larbu,Broadway
acquis,adquirido
évaluer,evaluar
lavage,lavar
cartouches,cartuchos
des pierres,piedras
entrée,Entrada
gnome,gnomo
racines,raíces
déclaration,declaración
perdant,perdiendo
tentatives,intento
gadgets,artilugio
noble,noble
glasgow,glasgow
automatisation,automatización
impacts,impactos
tour,Rvdo
gospel,evangelio
avantages,ventajas
rive,orilla
amours,ama
induit,inducido
ll,ll
Chevalier,Caballero
en train de préparer,preparando
lâche,suelto
but,objetivos
destinataire,recipiente
mise en relation,enlace
extensions,extensiones
appel,apelaciones
clocher,cl
gagné,ganado
maladie,enfermedad
islamique,islámico
athlétisme,atletismo
sud-est,Sureste
ieee,IEEE
ho,Ho
alternatives,alternativas
en attendant,pendiente
parker,parker
déterminant,determinando
Liban,Líbano
corpes,corp
personnalisé,personalizado
kennedy,Kennedy
gt,gt
SH,sh
conditionnement,acondicionamiento
adolescent,Adolescente
du savon,jabón
ae,ae
tripler,triple
tonnelier,cobre
nycé,Nueva York
vexent,vicente
Confiture,mermelada
sécurisé,asegurado
inhabituel,raro
répondu,contestado
partenariats,asociaciones
destruction,destrucción
machines à sous,tragamonedas
de plus en plus,cada vez más
migration,migración
désordre,trastorno
routine,rutina
barre d'outils,barra de herramientas
essentiellement,básicamente
rochers,rocas
conventionnel,convencional
titans,titanes
candidats,solicitantes
portant,vistiendo
axe,eje
recherché,buscado
gènes,genes
monté,montado
habitat,habitat
pare-feu,firewall
médian,mediana
armes à feu,pistolas
scanner,escáner
ici,Aquí en
professionnel,ocupacional
Animé,animado
judiciaire,judicial
rio,rio
hs,hs
ajustement,ajustamiento
héros,héroe
entier,entero
traitements,tratos
bachelier,soltero
attitude,actitud
caméscopes,videocámaras
engagé,comprometido
chute,descendente
base,lo esencial
montréalais,Montreal
tapis,alfombra
rv,rv
structurer,estructura
lentilles,lentes
binaire,binario
la génétique,genética
assisté à,asistido
difficulté,dificultad
punk,punk
collectif,colectivo
coalition,coalición
pi,Pi
chuté,abandonó
inscription,inscripción
Duc,duque
walter,Walter
ai,ai
rythme,ritmo
outre,además
salaire,sueldo
producteurs,productores
tangne,Antiguo Testamento
collectionneur,coleccionista
arc,arco
hôtes,Hospedadores
interfaces,interfaces
annonceurs,anunciantes
des moments,momentos
atlas,atlas
cordes,instrumentos de cuerda
Aube,amanecer
représentant,representación
observation,observación
se sent,siente
torture,tortura
carl,carl
supprimé,borrado
manteau,Saco
mitchell,Mitchell
Mme,señora
rica,Rica
restauration,restauracion
commodité,conveniencia
rentrant,de regreso
ralph,ralph
opposition,oposición
récipient,envase
yr,yr
défendeur,acusado
warner,Warner
confirmation,confirmación
app,app
embarqué,incorporado
jet d'encre,chorro de tinta
superviseur,supervisor
sorcier,mago
corps,cuerpo
acteurs,actores
le foie,hígado
périphériques,periféricos
responsable,responsable
brochure,folleto
morré,Morris
best-sellers,Los más vendidos
pétition,petición
eminem,eminem
rappeler,recordar
antenne,antena
choisi,escogido
assumé,ficticio
Départ,salida
minneapolis,Minneapolis
croyance,creencia
meurtre,asesinato
bikini,bikini
memphis,Memphis
épaule,hombro
décor,decoración
chercher,buscar
les textes,textos
Harvard,Harvard
courtiers,corredores
royal,roy
ion,ion
diamètre,diámetro
Ottawa,Ottawa
poupée,muñeca
ic,IC
Podcast,pódcast
saisons,estaciones
Pérou,Perú
interactions,interacciones
affiner,refinar
soumissionnaire,licitador
chanteur,cantante
Evans,evanes
héraut,heraldo
l'alphabétisation,literatura
échoue,fallo
vieillissement,envejecimiento
nike,nike
intervention,intervención
nourris,alimentado
brancher,enchufar
attraction,atracción
plongée,buceo
inviter,invitación
modification,modificación
alice,Alicia
latinas,latinas
supposer,suponer
personnalisé,personalizado
roseau,Junco
impliquer,involucrar
modérer,moderar
la terreur,terror
plus jeune,mas joven
trente,treinta
souris,ratones
contraire,opuesto
entendu,comprendido
rapidement,rápidamente
Time dual,tiempo de reparto
interdire,prohibición
tôle,temperatura
intro,intro
Mercedes,Mercedes
zus,zus
assurance,garantía
employé de bureau,empleado
événement,sucediendo
vaste,vasto
moulins,fábrica
contour,contorno
amendements,enmiendas
tramadol,tramadol
Hollande,Holanda
recettes,recibe
jeans,pantalones
métropolitain,metropolitano
compilation,Compilacion
vérification,verificación
polices,fuentes
enterré,entrometerse
impair,impar
envelopper,envoltura
se réfère,se refiere
humeur,estado animico
favoriser,favor
anciens combattants,veteranos
quiz,examen
mx,mochila
sigma,sigma
gras,gramo
attractif,atractivo
xhtml,xhtml
occasion,ocasión
enregistrement,grabaciones
Jefferson,Jefferson
victime,víctima
demandes,demandas
en train de dormir,dormido
prudent,Cuidado
ext,extinguirse
rayonner,Haz
jardinage,jardinería
obligations,obligaciones
arrivée,llegar
orchestre,orquesta
le coucher du soleil,puesta de sol
suivi,rastreado
de plus,es más
minimal,mínimo
polyphonique,polifónico
loterie,lotería
hauts,tops
encadré,enmarcado
de côté,aparte
externalisation,subcontratación
Licence,licencia
Ajustable,ajustable
allocation,asignación
michelle,michillera
essai,ensayo
la discipline,disciplina
amy,amy
TS,ts
démontré,demostrado
dialogue,diálogo
identifier,identificando
alphabétique,alfabético
camps,campamentos
déclaré,declarado
expédié,enviado
Aaron,Aaron
de poche,Mano
trace,rastro
disposition,disposición
fermer,cerrar
fleuristes,floristas
emballage,paquetes
ge,género
installation,instalación
commutateur,cambia
Roumanie,Rumania
volontaire,voluntario
NCAA,NCAA
tu,tú
consulter,consultar
doctorat,Doctor
très,muy
blogging,blogging
masque,máscara
cyclisme,ciclismo
minuit,medianoche
ng,ng
communément,comúnmente
PE,Educación física
photographe,fotógrafo
informer,informar
turc,turco
charbon,carbón
cri,llorar
Messagerie,mensajería
pentium,pentium
quantum,cuántico
murray,murray
intention,intención
tt,tt
zoo,zoo
en grande partie,en gran parte
agréable,agradable
annoncer,anunciar
construit,construido
addition,adiciones
nécessitant,requiriendo
parlait,habló
alias,AKA
La Flèche,flecha
engagement,compromiso
échantillonnage,muestreo
rugueux,áspero
bizarre,extraño
tee,tee
refinancer,refinanciar
Lion,león
inspiré,inspirado
des trous,agujeros
mariages,bodas
lame,espada
soudainement,repentinamente
oxygène,oxígeno
biscuit,Galleta
repas,comidas
canyon,cañón
aller à,ir a
mètres,metros
seulement,simplemente
calendriers,calendarios
arrangement,arreglo
conclusions,conclusiones
passes,pases
bibliographie,bibliografía
aiguille,puntero
compatibilité,compatibilidad
s'étirer,estirarse
durham,durham
en outre,es más
autorisation,permisos
coopérative,cooperativa
musulman,musulmán
xl,SG
neil,neil
manche,manga
Netscape,Netscape
nettoyeur,limpiador
criquet,Grillo
du bœuf,carne de res
alimentation,alimentación
accident vasculaire cérébral,carrera
canton,municipio
classement,clasificación
mesure,medición
goujat,canalla
Chapeaux,sombreros
robin,Robin
robinson,Robinson
jacksonville,jacksonville
sangle,Correa
quartier général,sede
sharon,sharon
foule,multitud
TCP,TCP
transfert,transferencias
le surf,navegar
olympique,olímpico
transformation,transformación
resté,se mantuvo
accessoires,archivos adjuntos
dv,dv
Dir,dar
entités,entidades
douane,costumbres
administrateur,administradores
personnalité,personalidad
arc-en-ciel,arcoíris
accrocher,gancho
roulette,ruleta
déclin,disminución
des gants,guantes
israélien,israelí
Medicare,seguro médico del estado
corde,cable
ski,esquí
nuage,nube
faciliter,facilitar
abonné,abonado
soupape,válvula
valourdine,Val
hewlett,hewlett
expliquer,explica
procéder,Continuar
flickr,flickr
sentiments,sentimientos
couteau,cuchillo
Jamaïque,Jamaica
priorités,prioridades
étagère,estante
librairie,librería
Horaire,momento
aimé,apreciado
parentalité,hija de crianza
adopter,adoptar
refusé,denegado
fotos,fotos
incroyable,increíble
Britney,britney
logiciel libre,freeware
don,donación
extérieur,exterior
recadrer,cultivo
des morts,fallecidos
rivières,ríos
Commonwealth,mancomunidad
pharmaceutique,farmacéutico
Manhattan,Manhattan
contes,cuentos
katrina,katrina
la main d'oeuvre,personal
Islam,islam
nœuds,nodos
toupette,tu
fy,fiscal
pouce,pzuelos
des graines,semillas
cité,citado
léger,lite
GHz,ghz
moyeu,centro
ciblé,dirigido
organisationnel,organizativo
skype,skype
réalisé,comprendió
Douze,doce
fondateur,fundador
décennie,década
gamecube,Cubo de juego
rr,rr
contestation,disputa
Portugais,portugués
fatigué,cansado
trompé,tonto
négatif,adverso
partout,En todas partes
extrait,extracto
fra,eng
fumer,vapor
décharge,descarga
ef,EF
boisson,bebidas
as,as
voix,voces
aigu,agudo
Halloween,Víspera de Todos los Santos
escalade,escalada
se tenant,destacado
chanter,cantar
tonnes,montones
parfum,perfume
carol,villancico
honnête,honesto
albany,albanía
hasardeux,peligroso
restaurer,restaurar
empiler,apilar
méthodologie,metodología
quelqu'un,alguien
poursuivre en justice,demandar
texte,EP
ménagère,embarcadero
réputation,reputación
résistant,resistente
démocrates,demócratas
recyclage,reciclaje
pendre,colgar
GBP,GBP
courbe,curva
créateur,creador
ambre,ámbar
qualifications,calificaciones
musées,museos
codage,codificación
diaporama,diapositivas
traqueur,rastreador
variation,variación
passage,paso
transféré,transferido
tronc,maletero
randonnée,senderismo
kg,lb
pierre,Pierre
jelsoft,jelsoft
casque,auriculares
photographier,fotografía
oakland,Oakland
Colombie,Colombia
vagues,ondas
chameau,camello
distributeur,distribuidor
les lampes,lámparas
sous-jacent,subyacente
capuche,capucha
lutte,lucha
suicide,suicidio
archivé,archivado
photoshop,Photoshop
jump,jp
chi,chi
bt,bt
Saoudite,arabia
la cueillette,reunión
projection,proyección
jus,jugo
chasser,perseguir
mathématique,matemático
logique,lógico
sauce,salsa
la célébrité,fama
extrait,extraer
spécialisé,especializado
diagnostique,diagnóstico
Panama,Panamá
Indianapolis,Indianápolis
un F,af
payable,pagadero
des sociétés,corporaciones
courtoisie,cortesía
critique,crítica
voiture,automóvil
confidentiel,confidencial
rfc,rfc
statutaire,estatutario
hébergement,Alojamientos
Athènes,Atenas
nord-est,Noreste
téléchargé,descargado
juge,jueces
sl,sl
référencement,seo
retraité,retirado
isp,isp
remarques,comentarios
détectée,detectado
décennies,décadas
peintures,pinturas
promené,caminado
découpé,que surge
Nissan,Nissan
bracelet,pulsera
ins,En s
des œufs,huevos
juvénile,juvenil
injection,inyección
Yorkshire,Yorkshire
populations,poblaciones
protecteur,protector
peur,temeroso
acoustique,acústico
chemin de fer,ferrocarril
cassette,casete
initialement,inicialmente
indicateur,indicador
pointu,puntiagudo
hb,media pensión
jpg,jpg
provoquant,causante
erreur,error
Norton,norton
fermé à clé,bloqueado
éliminer,eliminar
tc,tc
la fusion,fusión
minéral,mineral
des lunettes de soleil,Gafas de sol
rubis,rubí
pilotage,direccion
perles,rosario
fortune,fortuna
préférence,preferencia
Toile,lienzo
seuil,umbral
paroisse,parroquia
revendiqué,reclamado
écrans,pantallas
cimetière,cementerio
planificateur,planificador
Croatie,Croacia
les flux,flujos
stade,estadio
Venezuela,Venezuela
exploration,exploración
mines,minas
moins,menos
séquences,secuencias
coupon,cupón
infirmières,enfermeras
ssl,ssl
tige,madre
Procuration,apoderado
astronomie,astronomía
lanka,lanka
opter,optar
edwards,Edwards
a dessiné,dibujó
concours,concursos
grippe,gripe
Traduire,traducir
annonce,anuncia
mlb,mlb
costume,disfraz
tagué,etiquetado
berkeley,berkeley
voté,votado
tueur,asesino
vélos,bicicleta
portes,puertas
ajusté,equilibrado
rap,rap
régler,melodía
évêque,obispo
tiré,tirado
maïs,maíz
gp,gp
en forme de,conformado
compression,compresión
saisonnier,estacional
établissement,establecimiento de
agriculteur,granjero
compteurs,contadores
mette,pone
constitutionnel,constitucional
grandir,creció
à la perfection,perfectamente
étain,estaño
trimer,esclavo
immédiatement,instantáneamente
des cultures,culturas
norfolk,norfolk
encadrement,entrenamiento
examiné,examinado
randonnée,emigrar
codage,codificación
litige,litigio
soumission,presentaciones
OEM,OEM
héros,héroes
peint,pintado
lycos,lycos
ivre,IR
zdnet,zdnet
diffusion,radiodifusión
horizontal,horizontal
ouvrages d'art,obra de arte
cosmétique,cosmético
abouti,resultó
portrait,retrato
terroriste,terrorista
d'information,informativo
éthique,ético
transporteur,portadores
commerce électronique,comercio electrónico
mobilité,movilidad
floral,floral
constructeurs,constructores
liens,corbatas
lutter,dificil
schémas,esquemas
Souffrance,sufrimiento
neutre,neutral
pêcheur,pescador
rat,rata
lance,lanzas
éventuel,futuro
literie,lecho
finalement,por último
joindre,unión
titre,Bóveda
également,Igualmente
artificiel,artificial
palier,soportando
spectaculaire,espectacular
coordination,coordinación
connecteur,conector
brad,puntilla
combo,combo
personne âgée,mayores
mondes,mundos
coupable,culpable
affilié,asociado
Activation,activación
naturellement,naturalmente
havre,refugio
tablette,tableta
jury,jurado
dons,dos
queue,cola
les abonnés,suscriptores
charme,encanto
pelouse,césped
violent,violento
Mitsubishi,mitsubishi
sous-vêtement,ropa interior
bassin,cuenca
soupe,sopa
potentiellement,potencialmente
ranch,rancho
contraintes,restricciones
traversée,cruce
compris,inclusivo
dimensionnel,dimensional
chalet,cabaña
ivre,borracho
considérable,considerable
crimes,delitos
résolu,resuelto
Mozilla,mozilla
octet,byte
toner,virador
nez,nariz
latex,látex
branches,sucursales
plus,ya no
OCLC,OCLC
delhi,Delhi
exploitation,valores en cartera
extraterrestre,extraterrestre
localisateur,locador
sélectionnant,selección
processeurs,procesadores
pantyhose,pantys
plc,Sociedad Anónima
fauché,rompió
Népal,Nepal
Zimbabwe,Zimbabue
des difficultés,dificultades
Juan,Juan
complexité,complejidad
msg,msg
constamment,constantemente
navigation,hojeada
résoudre,resolver
Barcelone,Barcelona
présidentiel,presidencial
documentaire,documental
la morue,bacalao
territoires,territorios
mélisse,toronjil
Moscou,Moscú
thèse,tesis
à travers,a través de
les Juifs,judío
nylon,nylon
palestinien,palestino
disques,discos
rocheux,rocoso
bonnes affaires,gangas
fréquent,frecuente
garniture,podar
Nigeria,Nigeria
plafond,techo
pixels,píxeles
assurer,garantizar
hispanique,Hispano
CV,CV
cb,cb
corps législatif,legislatura
hospitalité,hospitalidad
général,generoso
n'importe qui,cualquiera
approvisionnement,obtención
diamants,diamantes
espn,ESPN
flotte,flota
sans titre,intitulado
groupe,racimo
totaux,totales
marriott,Marriott
en chantant,cantando
théorique,teórico
s'offrir,poder pagar
des exercices,ejercicios
en vedette,protagonizado
référence,remisión
nhl,nhl
surveillance,vigilancia
optimal,óptimo
quitter,dejar
distinct,distinto
protocoles,protocolos
poumon,pulmón
surligner,destacar
remplacer,sustituir
inclusion,inclusión
avec un peu de chance,Ojalá
brillant,brillante
tourneur,tornero
succion,succión
centimes,centavos
Reuters,reuters
Ti,TI
fc,fc
gel,gel
Todd,Todd
parlé,hablado
oméga,omega
évalué,evaluado
séjourné,permaneció
civique,cívico
missions,asignaciones
fw,fw
manuels,manuales
doux,doug
vœux,ves
Résiliation,terminación
regardé,Visto
épargnant,ahorrador
celui-ci,del mismo
gril,parrilla
ménages,hogares
gs,GS
racheter,canjear
rogers,rogers
grain,grano
aaa,aaa
authentique,auténtico
régime,régimen
voulez,querer
vœux,deseos
taureau,Toro
mégomérie,Montgomery
architectural,arquitectónico
Louisville,Louisville
dépendre,depender
différer,diferir de
macintosh,Macintosh
mouvements,movimientos
variant,vistoso
Monica,Monica
réparations,refacción
souffle,aliento
Agréments,comodidades
virtuellement,virtualmente
Cole,col
marché,mercado
bougie,vela
suspendu,colgando
coloré,de colores
autorisation,autorización
conte,cuento
vérifié,verificado
lynn,lynn
Auparavant,antes
projecteur,proyector
bp,bp
situé,situado
comparatif,comparativo
tirade,std
cherche,busca
à base de plantes,herbario
aimant,cariñoso
strictement,estrictamente
routage,enrutamiento
docs,doctores
Stanley,Stanley
psychologique,psicológico
surpris,sorprendido
détaillant,detallista
vitamines,vitaminas
élégant,elegante
gagne,ganancias
renouvellement,renovación
vid,vid
généalogie,genealogía
opposé,opuesto
jugé,considerado
notation,puntuación
dépense,gasto
brooklyn,brooklyn
liverpool,Liverpool
sœurs,hermanas
critiques,crítica
connectivité,conectividad
taches,lugares
oo,oo
algorithmes,algoritmos
pirate,pirata informático
Madrid,Madrid
de la même manière,similar
marge,margen
pièce de monnaie,moneda
uniquement,solamente
faux,falso
salon,salón
collaboratif,colaborativo
normand,normando
FDA,FDA
à l'exclusion,Excluyendo
turbo,turbo
à tête,con membrete
électeurs,votantes
guérir,cura
Madone,Virgen
le commandant,comandante
cambre,arco
Ni,Ni
maudit,murphy
pense,piensa
c'est,esa es
suggestion,sugerencia
hdtv,hdtv
soldat,soldado
phillips,Phillips
un péché,como en
viser,dirigido
Justin,justin
bombe,bomba
préjudice,dañar
intervalle,intervalo
miroir,espejos
projecteur,destacar
des trucs,trucos
réinitialiser,Reiniciar
brosser,cepillar
enquêter,investigar
tes,tu
expansys,expansiones
panneaux,paneles
répété,repetido
agression,asalto
de liaison,conexión
de rechange,repuesto
logistique,logística
cerf,ciervo
kodak,Kodak
langue,lengua
bowling,bolos
tri,tri
danois,danés
copain,camarada
singe,mono
proportion,proporción
nom de fichier,nombre del archivo
jupe,falda
Florence,florencia
investir,invertir
mon chéri,miel
euh,um
analyses,análisis
dessins,dibujos
importance,significado
scénario,guión
vous,S.M
fs,fs
les amoureux,amantes
atomique,atómico
environ,aprox
symposium,simposio
arabe,Arábica
jauge,indicador
essentiel,esencial
jonction,unión
protection,proteger
nn,nn
confronté,enojado
tapis,estera
rachel,rachel
résolution,resolver
transmis,transmitido
fins de semaine,fines de semana
captures d'écran,capturas de pantalla
produit,produce
four,horno
tiède,ted
intensif,intensivo
Chaînes,cadenas
kingston,Kingston
sixième,sexto
engager,comprometerse
déviant,desviado
le midi,mediodía
commutation,traspuesta
cité,citado
adaptateur,adaptadores
correspondance,correspondencia
fermes,fincas
importations,importaciones
surveillance,supervisión
Tricher,hacer trampa
bronze,bronce
dépenses,gastos
sablonneux,arenoso
séparation,separación
témoignage,testimonio
suspect,sospechar
célébrités,famosos
macro,macro
expéditeur,remitente
obligatoire,obligatorio
limites,límites
crucial,crucial
syndication,sindicación
gym,Gimnasio
fête,celebracion
kde,kde
adjacent,adyacente
filtration,filtración
frais de scolarité,matrícula
conjoint,esposa
exotique,exótico
téléspectateur,espectador
s'inscrire,inscribirse
des menaces,amenazas
Luxembourg,Luxemburgo
puzzles,rompecabezas
atteint,alcanzado
vb,vb
endommagé,dañado
cames,cámaras
récepteur,receptor
rire,reír
joel,joel
chirurgical,quirúrgico
détruire,destruir
citation,citación
terrain,terreno de juego
automates,autos
yo,yo
locaux,local
poiré,sidra de pera
prouvé,demostrado
offensive,ofensiva
impérial,imperial
douzaine,docena
Benjamin,Benjamín
déploiement,despliegue
les dents,dientes
chiffon,tela
en train d'étudier,estudiando
collègues,colegas
timbre,sello
lotus,loto
Saumon,salmón
Olympe,Olimpo
séparé,apartado
procéder à,proc
cargaison,carga
bronzer,broncearse
directif,directiva
fx,fx
salée,salem
camarade,compañero
dl,dl
entrée,inicio
mises à niveau,actualizaciones
aime,gustos
Beurre,manteca
poivre,pimienta
arme,arma
bagage,equipaje
charge,carga
chef,cocinero
bandes,cintas
Zones,zonas
les courses,Razas
île,isla
élégant,elegante
maigrir,Delgado
érable,arce
Luke,lucero
épicerie,tienda de comestibles
offshore,costa afuera
gouvernant,gobernante
détaillants,minoristas
dépôt,deposito
kenneth,Kenneth
compression,compuesto
alt,alt
tarte,tarta
mélanger,mezcla
hardison,horrison
ls,ls
julie,julie
parfois,de vez en cuando
CBS,cbs
assister à,asistiendo
émission,emisión
peté,pete
spectacle,Especificaciones
meilleur,mejor
immobilier,bienes raíces
janet,Janet
arc,inclinarse
penn,penn
recrutement,reclutamiento
apparent,aparente
pédagogique,instructivo
phpbb,phpbb
automne,otoño
en voyageant,de viaje
sonde,Investigacion
midi,MIDI
autorisation,permisos
biotechnologie,biotecnología
toilette,inodoro
classé,clasificado
vestes,chaquetas
routes,rutas
emballé,lleno
excité,emocionado
sensibiliser,superar a
helen,helen
montage,montaje
se remettre,recuperar
attaché,atado
lopez,lópez
équilibré,equilibrado
prescrit,prescrito
Catherine,catherine
opportun,oportuno
a parlé,habló
déboguer,depurar
différé,demorado
mandrin,arrojar
reproduit,reproducido
honorer,estupendo
vallée,valle
explicite,explícito
calcul,cálculo
villas,villas
livre électronique,libro electronico
consolidés,consolidado
exclure,excluir
pipi,pipí
occasions,ocasiones
ruisseau,Arroyos
équations,ecuaciones
newton,Newton
huiles,aceites
septembre,septiembre
exceptionnel,excepcional
anxiété,ansiedad
bingo,bingo
tandis que,mientras que
spatial,espacial
répondants,encuestados
à,hasta
lt,lt
céramique,cerámico
rapide,inmediato
précieux,precioso
esprits,mentalidad
annuellement,anualmente
considérations,consideraciones
scanners,escáneres
au m,Cajero automático
xanax,xanax
éq,eq
paie,paga
les doigts,dedos
ensoleillé,soleado
livres électroniques,libros electrónicos
délivre,entrega
je,je
Queensland,Queensland
Collier,collar
les musiciens,músicos
leeds,leeds
composite,compuesto
indisponible,indisponible
cèdre,cedro
arrangé,organizado
languer,langoso
théâtres,teatros
plaidoyer,Abogacía
râleur,raleigh
étalon,semental
plier,pliegue
essentiellement,esencialmente
conception,diseño
fileté,roscado
uv,UV
qualifier,calificar
Blair,blair
espoir,esperanzas
évaluations,evaluaciones
cms,cms
le maçon,masón
diagramme,diagrama
brûler,quemaduras
pompes,zapatillas
chaussure,calzado
sg,sg
vierge,víctima
Pékin,Beijing
peuples,pueblos
Victor,Víctor
Mario,mario
point de vue,pos
attacher,adjuntar
licences,licencias
utils,utilidades
enlever,eliminación
informé,aconsejado
brunswick,brunswick
araignée,araña
corporel,phys
gammes,rangos
paires,pares
sensibilité,sensibilidad
les sentiers,caminos
préservation,preservación
Hudson,Hudson
isolé,aislado
calgaire,calgary
intérimaire,provisional
assisté,asistido
Divin,adivinar
Diffusion,transmisión
approuver,aprobar
choisi,escoger
composé,compuesto
intensité,intensidad
technologique,tecnológico
syndicat,sindicato
Avortement,aborto
dialogue,diálogo
sites,lugares
détruire,explosión
bien-être,bienestar
calcium,calcio
Newport,Newport
antivirus,antivirus
adressage,direccionamiento
pôle,polo
réduit,descontado
Indiens,indios
protéger,blindaje
récolte,cosecha
membrane,membrana
prague,Praga
Prévisualisation,vistas previas
bangladesh,Bangladesh
constituer,constituir
localement,en la zona
conclu,concluido
Récupérer,recoger
désespéré,desesperado
mères,madres
nascar,nascar
Islande,Islandia
manifestation,demostración
gouvernemental,gubernamental
fabriqué,fabricado
bougies,velas
l'obtention du diplôme,graduación
méga,mega
pliez,curva
voile,navegación
variations,variaciones
mamans,mamás
sacré,sagrado
dépendance,adiccion
Maroc,Marruecos
chrome,cromo
tommy,Tommy
Springfield,Springfield
refusé,rechazado
frein,freno
extérieur,exterior
salutation,saludo
écologie,ecología
oliver,Oliver
congo,congo
glen,cañada
Botswana,botsuana
navire,navegante
retard,retrasos
synthèse,síntesis
olive,aceituna
indéfini,indefinido
chômage,desempleo
cyber,cibernético
verizon,verizon
marqué,anotado
renforcement,mejora
Newcastle,Newcastle
cloner,clon
rapidité,velocidad
lambda,lambda
relais,relé
composé,compuesto
des larmes,lágrimas
les performances,actuaciones
oasis,oasis
base,base
taxi,taxi
en colère,enfadado
FA,fa
sociétés,sociedades
silicium,silicio
brésilien,brasileño
identique,idéntico
pétrole,petróleo
rivaliser,competir
ist,es
norvégien,noruego
amoureux,amante
appartenir,pertenecer
honolulu,Honolulu
beatles,beatles
lèvres,labios
rétention,retencion
des échanges,intercambios
étang,estanque
Rouleaux,rollos
Thomson,Thomson
barnes,Barnes
bande sonore,banda sonora
se demandant,preguntarse
Malte,Malta
papa,Papito
lc,lc
traversier,transportar
lapin,Conejo
métier,profesión
sièges,asientos
endiguer,represa
cnn,cnn
séparément,por separado
physiologie,fisiología
p'tit,pequeño
collecte,recolección
da,das
exportations,exportaciones
omaha,omaha
pneu,neumático
participant,partícipe
Bourses d'études,becas
récréatif,recreativo
dominicain,dominicano
chadre,Chad
électron,electrón
charges,cargas
Amitié,amistad
chauffage,brezo
passeport,pasaporte
motel,motel
syndicats,sindicatos
Trésorerie,tesorería
garantir,orden
Sys,sys
solaris,solaris
gelé,congelado
occupé,ocupado
Josh,josh
royalties,realeza
Balance,escamas
se rallier,reunión
observateur,observador
ensoleillement,Brillo Solar
souche,cepa
glisser,arrastrar
la cérémonie,ceremonia
en quelque sorte,de alguna manera
arrêté,detenido
expansion,en expansión
provincial,provincial
enquêteurs,investigaciones
ICQ,ICQ
mûr,maduro
Yamaha,YAMAHA
compter sur,confiar
médicaments,medicamentos
hébreu,hebreo
gagné,ganado
rochester,Rochester
mourant,muriendo
lessive,lavandería
bloqué,pegado
Salomon,Salomón
placement,colocación
arrêts,paradas
devoirs,tarea
régler,ajustar
évalué,juzgado
annonceur,anunciante
habilitant,habilitación
chiffrement,cifrado
remplissage,relleno
téléchargeable,descargable
sophistiqué,sofisticado
imposé,impuso
silence,silencio
SCSI,scsi
se concentrer,enfocado
soviétique,Soviético
possession,posesión
cu,cúbito
laboratoires,laboratorios
traité,tratado
vocal,vocal
entraîneur,entrenador
organe,Organo
plus forte,más fuerte
volumes,volúmenes
avances,avances
les légume,verduras
citron,limón
toxique,tóxico
DNS,DNS
vignettes,miniaturas
obscurité,oscuridad
pty,pty
ws,ws
des noisettes,nueces
ongle,clavo
bizre,bizrecuencia
vienna,Viena
implicite,implícito
envergure,lapso
Stanford,Stanford
sox,sox
bas,medias
plaisanter,broma
intimé,demandado
emballage,embalaje
loi,estatuto
rejeté,rechazado
satisfaire,satisfacer
détruit,destruido
abri,abrigo
chapelle,capilla
gamespot,GamesPot
fabrication,fabricar
couches,capas
wordpress,wordpress
guidé,guiado
vulnérabilité,vulnerabilidad
responsabilité,responsabilidad
célébrer,celebrar
accrédité,autorizado
appareil,aparato
comprimé,comprimido
bahamas,bahamas
powell,powell
mélange,mezcla
banc,mesa de trabajo
univer,univ
baignoire,tina
cavalier,jinete
Planification,Planificación
rayon,radio
points de vue,perspectivas
mortalité,mortalidad
enregistrement,Inicio sesión
hampton,Hampton
les chrétiens,cristianos
limites,fronteras
